स्थिति,सूत्र
यावत् सञ्जायते,-
यावद् सञ्जायते,[[झलां जशोऽन्ते (8.2.39)]]
यावत् सञ्जायते,[[खरि च (8.4.55)]]
सञ्जायते किञ्चित्,-
किञ्चित् सत्त्वम्,-
किञ्चिद् सत्त्वम्,[[झलां जशोऽन्ते (8.2.39)]]
किञ्चित् सत्त्वम्,[[खरि च (8.4.55)]]
सत्त्वम् स्थावरजङ्गमम्,-
सत्त्वं स्थावरजङ्गमम्,[[मोऽनुस्वारः (8.3.23)]]
स्थावरजङ्गमम्,-
क्षेत्रक्षेत्रज्ञसंयोगात् तत्,-
क्षेत्रक्षेत्रज्ञसंयोगाद् तत्,[[झलां जशोऽन्ते (8.2.39)]]
क्षेत्रक्षेत्रज्ञसंयोगात् तत्,[[खरि च (8.4.55)]]
तत् विद्धि,-
तद् विद्धि,[[झलां जशोऽन्ते (8.2.39)]]
विद्धि भरतर्षभ,-
भरतर्षभ,-
