स्थिति,सूत्र
सर्वधर्मान् परित्यज्य,-
परित्यज्य माम्,-
माम् एकम्,-
एकम् शरणम्,-
एकं शरणम्,[[मोऽनुस्वारः (8.3.23)]]
शरणम् व्रज,-
शरणं व्रज,[[मोऽनुस्वारः (8.3.23)]]
व्रज,-
अहम् त्वा,-
अहं त्वा,[[मोऽनुस्वारः (8.3.23)]]
त्वा सर्वपापेभ्यस्,-
सर्वपापेभ्यस् मोक्षयिष्यामि,-
सर्वपापेभ्यरुँ मोक्षयिष्यामि,[[ससजुषो रुः (8.2.66)]]
सर्वपापेभ्यर् मोक्षयिष्यामि,[[तस्य लोपः (1.3.9)]]
सर्वपापेभ्य उ मोक्षयिष्यामि,[[हशि च (6.1.114)]]
सर्वपापेभ्यो मोक्षयिष्यामि,[[आद्गुणः (6.1.87)]]
मोक्षयिष्यामि मा,-
मा शुचस्,-
शुचस्,-
शुचरुँ,[[ससजुषो रुः (8.2.66)]]
शुचर्,[[तस्य लोपः (1.3.9)]]
शुचः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
