स्थिति,सूत्र
कामम् आश्रित्य,-
आश्रित्य दुष्पूरम्,-
दुष्पूरम् दम्भमानमदान्वितास्,-
दुष्पूरं दम्भमानमदान्वितास्,[[मोऽनुस्वारः (8.3.23)]]
दम्भमानमदान्वितास्,-
दम्भमानमदान्वितारुँ,[[ससजुषो रुः (8.2.66)]]
दम्भमानमदान्वितार्,[[तस्य लोपः (1.3.9)]]
दम्भमानमदान्विताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
मोहात् गृहीत्वा,-
मोहाद् गृहीत्वा,[[झलां जशोऽन्ते (8.2.39)]]
गृहीत्वा असत्,-
गृहीत्वासत्,[[अकः सवर्णे दीर्घः (6.1.101)]]
गृहीत्वासत् ग्राहान्,-
गृहीत्वासद् ग्राहान्,[[झलां जशोऽन्ते (8.2.39)]]
ग्राहान् प्रवर्तन्ते,-
प्रवर्तन्ते अशुचिव्रतास्,-
प्रवर्तन्तेऽशुचिव्रतास्,[[एङः पदान्तादति (6.1.109)]]
प्रवर्तन्तेऽशुचिव्रतास्,-
प्रवर्तन्तेऽशुचिव्रतारुँ,[[ससजुषो रुः (8.2.66)]]
प्रवर्तन्तेऽशुचिव्रतार्,[[तस्य लोपः (1.3.9)]]
प्रवर्तन्तेऽशुचिव्रताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
