स्थिति,सूत्र
देहिनस् अस्मिन्,-
देहिनरुँ अस्मिन्,[[ससजुषो रुः (8.2.66)]]
देहिनर् अस्मिन्,[[तस्य लोपः (1.3.9)]]
देहिन उ अस्मिन्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
देहिनो अस्मिन्,[[आद्गुणः (6.1.87)]]
देहिनोऽस्मिन्,[[एङः पदान्तादति (6.1.109)]]
देहिनोऽस्मिन् यथा,-
यथा देहे,-
देहे कौमारम्,-
कौमारम् यौवनम्,-
कौमारं यौवनम्,[[मोऽनुस्वारः (8.3.23)]]
यौवनम् जरा,-
यौवनं जरा,[[मोऽनुस्वारः (8.3.23)]]
जरा,-
तथा देहान्तरप्राप्तिस्,-
देहान्तरप्राप्तिस् धीरस्,-
देहान्तरप्राप्तिरुँ धीरस्,[[ससजुषो रुः (8.2.66)]]
देहान्तरप्राप्तिर् धीरस्,[[तस्य लोपः (1.3.9)]]
धीरस् तत्र,-
धीररुँ तत्र,[[ससजुषो रुः (8.2.66)]]
धीरर् तत्र,[[तस्य लोपः (1.3.9)]]
धीरः तत्र,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
धीरस् तत्र,[[विसर्जनीयस्य सः (8.3.34)]]
तत्र न,-
न मुह्यति,-
मुह्यति,-
