स्थिति,सूत्र
युक्तस् कर्मफलम्,-
युक्तरुँ कर्मफलम्,[[ससजुषो रुः (8.2.66)]]
युक्तर् कर्मफलम्,[[तस्य लोपः (1.3.9)]]
युक्तः कर्मफलम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
युक्तः कर्मफलम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कर्मफलम् त्यक्त्वा,-
कर्मफलं त्यक्त्वा,[[मोऽनुस्वारः (8.3.23)]]
त्यक्त्वा शान्तिम्,-
शान्तिम् आप्नोति,-
आप्नोति नैष्ठिकीम्,-
नैष्ठिकीम्,-
अयुक्तस् कामकारेण,-
अयुक्तरुँ कामकारेण,[[ससजुषो रुः (8.2.66)]]
अयुक्तर् कामकारेण,[[तस्य लोपः (1.3.9)]]
अयुक्तः कामकारेण,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अयुक्तः कामकारेण,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कामकारेण फले,-
फले सक्तस्,-
सक्तस् निबध्यते,-
सक्तरुँ निबध्यते,[[ससजुषो रुः (8.2.66)]]
सक्तर् निबध्यते,[[तस्य लोपः (1.3.9)]]
सक्त उ निबध्यते,[[हशि च (6.1.114)]]
सक्तो निबध्यते,[[आद्गुणः (6.1.87)]]
निबध्यते,-
