स्थिति,सूत्र
यततस् हि,-
यततरुँ हि,[[ससजुषो रुः (8.2.66)]]
यततर् हि,[[तस्य लोपः (1.3.9)]]
यतत उ हि,[[हशि च (6.1.114)]]
यततो हि,[[आद्गुणः (6.1.87)]]
हि अपि,-
ह्यपि,[[इको यणचि (6.1.77)]]
ह्यपि कौन्तेय,-
कौन्तेय पुरुषस्य,-
पुरुषस्य विपश्चितस्,-
विपश्चितस्,-
विपश्चितरुँ,[[ससजुषो रुः (8.2.66)]]
विपश्चितर्,[[तस्य लोपः (1.3.9)]]
विपश्चितः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
इन्द्रियाणि प्रमाथीनि,-
प्रमाथीनि हरन्ति,-
हरन्ति प्रसभम्,-
प्रसभम् मनस्,-
प्रसभं मनस्,[[मोऽनुस्वारः (8.3.23)]]
मनस्,-
मनरुँ,[[ससजुषो रुः (8.2.66)]]
मनर्,[[तस्य लोपः (1.3.9)]]
मनः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
