स्थिति,सूत्र
त्वम् आदिदेवस्,-
आदिदेवस् पुरुषस्,-
आदिदेवरुँ पुरुषस्,[[ससजुषो रुः (8.2.66)]]
आदिदेवर् पुरुषस्,[[तस्य लोपः (1.3.9)]]
आदिदेवः पुरुषस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आदिदेवः पुरुषस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुरुषस् पुराणस्,-
पुरुषरुँ पुराणस्,[[ससजुषो रुः (8.2.66)]]
पुरुषर् पुराणस्,[[तस्य लोपः (1.3.9)]]
पुरुषः पुराणस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पुरुषः पुराणस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुराणस् त्वम्,-
पुराणरुँ त्वम्,[[ससजुषो रुः (8.2.66)]]
पुराणर् त्वम्,[[तस्य लोपः (1.3.9)]]
पुराणः त्वम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पुराणस् त्वम्,[[विसर्जनीयस्य सः (8.3.34)]]
त्वम् अस्य,-
अस्य विश्वस्य,-
विश्वस्य परम्,-
परम् निधानम्,-
परं निधानम्,[[मोऽनुस्वारः (8.3.23)]]
निधानम्,-
वेत्ता असि,-
वेत्तासि,[[अकः सवर्णे दीर्घः (6.1.101)]]
वेत्तासि वेद्यम्,-
वेद्यम् च,-
वेद्यं च,[[मोऽनुस्वारः (8.3.23)]]
च परम्,-
परम् च,-
परं च,[[मोऽनुस्वारः (8.3.23)]]
च धाम,-
धाम त्वया,-
त्वया ततम्,-
ततम् विश्वम्,-
ततं विश्वम्,[[मोऽनुस्वारः (8.3.23)]]
विश्वम् अनन्तरूप,-
अनन्तरूप,-
