स्थिति,सूत्र
तपस्विभ्यस् अधिकस्,-
तपस्विभ्यरुँ अधिकस्,[[ससजुषो रुः (8.2.66)]]
तपस्विभ्यर् अधिकस्,[[तस्य लोपः (1.3.9)]]
तपस्विभ्य उ अधिकस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
तपस्विभ्यो अधिकस्,[[आद्गुणः (6.1.87)]]
तपस्विभ्योऽधिकस्,[[एङः पदान्तादति (6.1.109)]]
तपस्विभ्योऽधिकस् योगी,-
तपस्विभ्योऽधिकरुँ योगी,[[ससजुषो रुः (8.2.66)]]
तपस्विभ्योऽधिकर् योगी,[[तस्य लोपः (1.3.9)]]
तपस्विभ्योऽधिक उ योगी,[[हशि च (6.1.114)]]
तपस्विभ्योऽधिको योगी,[[आद्गुणः (6.1.87)]]
योगी ज्ञानिभ्यस्,-
ज्ञानिभ्यस् अपि,-
ज्ञानिभ्यरुँ अपि,[[ससजुषो रुः (8.2.66)]]
ज्ञानिभ्यर् अपि,[[तस्य लोपः (1.3.9)]]
ज्ञानिभ्य उ अपि,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
ज्ञानिभ्यो अपि,[[आद्गुणः (6.1.87)]]
ज्ञानिभ्योऽपि,[[एङः पदान्तादति (6.1.109)]]
ज्ञानिभ्योऽपि मतस्,-
मतस् अधिकस्,-
मतरुँ अधिकस्,[[ससजुषो रुः (8.2.66)]]
मतर् अधिकस्,[[तस्य लोपः (1.3.9)]]
मत उ अधिकस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
मतो अधिकस्,[[आद्गुणः (6.1.87)]]
मतोऽधिकस्,[[एङः पदान्तादति (6.1.109)]]
मतोऽधिकस्,-
मतोऽधिकरुँ,[[ससजुषो रुः (8.2.66)]]
मतोऽधिकर्,[[तस्य लोपः (1.3.9)]]
मतोऽधिकः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कर्मिभ्यस् च,-
कर्मिभ्यरुँ च,[[ससजुषो रुः (8.2.66)]]
कर्मिभ्यर् च,[[तस्य लोपः (1.3.9)]]
कर्मिभ्यः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कर्मिभ्यस् च,[[विसर्जनीयस्य सः (8.3.34)]]
कर्मिभ्यश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च अधिकस्,-
चाधिकस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
चाधिकस् योगी,-
चाधिकरुँ योगी,[[ससजुषो रुः (8.2.66)]]
चाधिकर् योगी,[[तस्य लोपः (1.3.9)]]
चाधिक उ योगी,[[हशि च (6.1.114)]]
चाधिको योगी,[[आद्गुणः (6.1.87)]]
योगी तस्मात्,-
तस्मात् योगी,-
तस्माद् योगी,[[झलां जशोऽन्ते (8.2.39)]]
योगी भव,-
भव अर्जुन,-
भवार्जुन,[[अकः सवर्णे दीर्घः (6.1.101)]]
भवार्जुन,-
