स्थिति,सूत्र
यथा एधांसि,-
यथैधांसि,[[वृद्धिरेचि (6.1.88)]]
यथैधांसि समिद्धस्,-
समिद्धस् अग्निस्,-
समिद्धरुँ अग्निस्,[[ससजुषो रुः (8.2.66)]]
समिद्धर् अग्निस्,[[तस्य लोपः (1.3.9)]]
समिद्ध उ अग्निस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
समिद्धो अग्निस्,[[आद्गुणः (6.1.87)]]
समिद्धोऽग्निस्,[[एङः पदान्तादति (6.1.109)]]
समिद्धोऽग्निस् भस्मसात्,-
समिद्धोऽग्निरुँ भस्मसात्,[[ससजुषो रुः (8.2.66)]]
समिद्धोऽग्निर् भस्मसात्,[[तस्य लोपः (1.3.9)]]
भस्मसात् कुरुते,-
भस्मसाद् कुरुते,[[झलां जशोऽन्ते (8.2.39)]]
भस्मसात् कुरुते,[[खरि च (8.4.55)]]
कुरुते अर्जुन,-
कुरुतेऽर्जुन,[[एङः पदान्तादति (6.1.109)]]
कुरुतेऽर्जुन,-
ज्ञानाग्निस् सर्वकर्माणि,-
ज्ञानाग्निरुँ सर्वकर्माणि,[[ससजुषो रुः (8.2.66)]]
ज्ञानाग्निर् सर्वकर्माणि,[[तस्य लोपः (1.3.9)]]
ज्ञानाग्निः सर्वकर्माणि,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
ज्ञानाग्निः सर्वकर्माणि,[[वा शरि (8.3.36)]]
सर्वकर्माणि भस्मसात्,-
भस्मसात् कुरुते,-
भस्मसाद् कुरुते,[[झलां जशोऽन्ते (8.2.39)]]
भस्मसात् कुरुते,[[खरि च (8.4.55)]]
कुरुते तथा,-
तथा,-
