स्थिति,सूत्र
रजस् तमस्,-
रजरुँ तमस्,[[ससजुषो रुः (8.2.66)]]
रजर् तमस्,[[तस्य लोपः (1.3.9)]]
रजः तमस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
रजस् तमस्,[[विसर्जनीयस्य सः (8.3.34)]]
तमस् च,-
तमरुँ च,[[ससजुषो रुः (8.2.66)]]
तमर् च,[[तस्य लोपः (1.3.9)]]
तमः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तमस् च,[[विसर्जनीयस्य सः (8.3.34)]]
तमश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च अभिभूय,-
चाभिभूय,[[अकः सवर्णे दीर्घः (6.1.101)]]
चाभिभूय सत्त्वम्,-
सत्त्वम् भवति,-
सत्त्वं भवति,[[मोऽनुस्वारः (8.3.23)]]
भवति भारत,-
भारत,-
रजस् सत्त्वम्,-
रजरुँ सत्त्वम्,[[ससजुषो रुः (8.2.66)]]
रजर् सत्त्वम्,[[तस्य लोपः (1.3.9)]]
रजः सत्त्वम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
रजः सत्त्वम्,[[वा शरि (8.3.36)]]
सत्त्वम् तमस्,-
सत्त्वं तमस्,[[मोऽनुस्वारः (8.3.23)]]
तमस् च,-
तमरुँ च,[[ससजुषो रुः (8.2.66)]]
तमर् च,[[तस्य लोपः (1.3.9)]]
तमः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तमस् च,[[विसर्जनीयस्य सः (8.3.34)]]
तमश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव तमस्,-
तमस् सत्त्वम्,-
तमरुँ सत्त्वम्,[[ससजुषो रुः (8.2.66)]]
तमर् सत्त्वम्,[[तस्य लोपः (1.3.9)]]
तमः सत्त्वम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तमः सत्त्वम्,[[वा शरि (8.3.36)]]
सत्त्वम् रजस्,-
सत्त्वं रजस्,[[मोऽनुस्वारः (8.3.23)]]
रजस् तथा,-
रजरुँ तथा,[[ससजुषो रुः (8.2.66)]]
रजर् तथा,[[तस्य लोपः (1.3.9)]]
रजः तथा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
रजस् तथा,[[विसर्जनीयस्य सः (8.3.34)]]
तथा,-
