स्थिति,सूत्र
वीतरागभयक्रोधास् मन्मयास्,-
वीतरागभयक्रोधारुँ मन्मयास्,[[ससजुषो रुः (8.2.66)]]
वीतरागभयक्रोधार् मन्मयास्,[[तस्य लोपः (1.3.9)]]
वीतरागभयक्रोधाय् मन्मयास्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
वीतरागभयक्रोधा मन्मयास्,[[हलि सर्वेषाम् (8.3.22)]]
मन्मयास् माम्,-
मन्मयारुँ माम्,[[ससजुषो रुः (8.2.66)]]
मन्मयार् माम्,[[तस्य लोपः (1.3.9)]]
मन्मयाय् माम्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
मन्मया माम्,[[हलि सर्वेषाम् (8.3.22)]]
माम् उपाश्रितास्,-
उपाश्रितास्,-
उपाश्रितारुँ,[[ससजुषो रुः (8.2.66)]]
उपाश्रितार्,[[तस्य लोपः (1.3.9)]]
उपाश्रिताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
बहवस् ज्ञानतपसा,-
बहवरुँ ज्ञानतपसा,[[ससजुषो रुः (8.2.66)]]
बहवर् ज्ञानतपसा,[[तस्य लोपः (1.3.9)]]
बहव उ ज्ञानतपसा,[[हशि च (6.1.114)]]
बहवो ज्ञानतपसा,[[आद्गुणः (6.1.87)]]
ज्ञानतपसा पूतास्,-
पूतास् मद्भावम्,-
पूतारुँ मद्भावम्,[[ससजुषो रुः (8.2.66)]]
पूतार् मद्भावम्,[[तस्य लोपः (1.3.9)]]
पूताय् मद्भावम्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
पूता मद्भावम्,[[हलि सर्वेषाम् (8.3.22)]]
मद्भावम् आगतास्,-
आगतास्,-
आगतारुँ,[[ससजुषो रुः (8.2.66)]]
आगतार्,[[तस्य लोपः (1.3.9)]]
आगताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
