स्थिति,सूत्र
पुरुषस् प्रकृतिस्थस्,-
पुरुषरुँ प्रकृतिस्थस्,[[ससजुषो रुः (8.2.66)]]
पुरुषर् प्रकृतिस्थस्,[[तस्य लोपः (1.3.9)]]
पुरुषः प्रकृतिस्थस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
पुरुषः प्रकृतिस्थस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रकृतिस्थस् हि,-
प्रकृतिस्थरुँ हि,[[ससजुषो रुः (8.2.66)]]
प्रकृतिस्थर् हि,[[तस्य लोपः (1.3.9)]]
प्रकृतिस्थ उ हि,[[हशि च (6.1.114)]]
प्रकृतिस्थो हि,[[आद्गुणः (6.1.87)]]
हि भुङ्क्ते,-
भुङ्क्ते प्रकृतिजान्,-
प्रकृतिजान् गुणान्,-
गुणान्,-
कारणम् गुणसङ्गस्,-
कारणं गुणसङ्गस्,[[मोऽनुस्वारः (8.3.23)]]
गुणसङ्गस् अस्य,-
गुणसङ्गरुँ अस्य,[[ससजुषो रुः (8.2.66)]]
गुणसङ्गर् अस्य,[[तस्य लोपः (1.3.9)]]
गुणसङ्ग उ अस्य,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
गुणसङ्गो अस्य,[[आद्गुणः (6.1.87)]]
गुणसङ्गोऽस्य,[[एङः पदान्तादति (6.1.109)]]
गुणसङ्गोऽस्य सत्,-
सत् असत्,-
सद् असत्,[[झलां जशोऽन्ते (8.2.39)]]
असत् योनिजन्मसु,-
असद् योनिजन्मसु,[[झलां जशोऽन्ते (8.2.39)]]
योनिजन्मसु,-
