स्थिति,सूत्र
यत् तत्,-
यद् तत्,[[झलां जशोऽन्ते (8.2.39)]]
यत् तत्,[[खरि च (8.4.55)]]
तत् अग्रे,-
तद् अग्रे,[[झलां जशोऽन्ते (8.2.39)]]
अग्रे विषम्,-
विषम् इव,-
इव परिणामे,-
परिणामे अमृतोपमम्,-
परिणामेऽमृतोपमम्,[[एङः पदान्तादति (6.1.109)]]
परिणामेऽमृतोपमम्,-
तत् सुखम्,-
तद् सुखम्,[[झलां जशोऽन्ते (8.2.39)]]
तत् सुखम्,[[खरि च (8.4.55)]]
सुखम् सात्त्विकम्,-
सुखं सात्त्विकम्,[[मोऽनुस्वारः (8.3.23)]]
सात्त्विकम् प्रोक्तम्,-
सात्त्विकं प्रोक्तम्,[[मोऽनुस्वारः (8.3.23)]]
प्रोक्तम् आत्मबुद्धिप्रसादजम्,-
आत्मबुद्धिप्रसादजम्,-
