स्थिति,सूत्र
अवाच्यवादान् च,-
अवाच्यवादांरुँ च,[[नश्छव्यप्रशान् (8.3.7)]]
अवाच्यवादांर् च,[[तस्य लोपः (1.3.9)]]
अवाच्यवादांः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अवाच्यवादांस् च,[[विसर्जनीयस्य सः (8.3.34)]]
अवाच्यवादांश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च बहून्,-
बहून् वदिष्यन्ति,-
वदिष्यन्ति तव,-
तव अहितास्,-
तवाहितास्,[[अकः सवर्णे दीर्घः (6.1.101)]]
तवाहितास्,-
तवाहितारुँ,[[ससजुषो रुः (8.2.66)]]
तवाहितार्,[[तस्य लोपः (1.3.9)]]
तवाहिताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
निन्दन्तस् तव,-
निन्दन्तरुँ तव,[[ससजुषो रुः (8.2.66)]]
निन्दन्तर् तव,[[तस्य लोपः (1.3.9)]]
निन्दन्तः तव,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
निन्दन्तस् तव,[[विसर्जनीयस्य सः (8.3.34)]]
तव सामर्थ्यम्,-
सामर्थ्यम् ततस्,-
सामर्थ्यं ततस्,[[मोऽनुस्वारः (8.3.23)]]
ततस् दुःखतरम्,-
ततरुँ दुःखतरम्,[[ससजुषो रुः (8.2.66)]]
ततर् दुःखतरम्,[[तस्य लोपः (1.3.9)]]
तत उ दुःखतरम्,[[हशि च (6.1.114)]]
ततो दुःखतरम्,[[आद्गुणः (6.1.87)]]
दुःखतरम् नु,-
दुःखतरं नु,[[मोऽनुस्वारः (8.3.23)]]
नु किम्,-
किम्,-
