स्थिति,सूत्र
अनादित्वात् निर्गुणत्वात्,-
अनादित्वाद् निर्गुणत्वात्,[[झलां जशोऽन्ते (8.2.39)]]
अनादित्वान् निर्गुणत्वात्,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
निर्गुणत्वात् परमात्मा,-
निर्गुणत्वाद् परमात्मा,[[झलां जशोऽन्ते (8.2.39)]]
निर्गुणत्वात् परमात्मा,[[खरि च (8.4.55)]]
परमात्मा अयम्,-
परमात्मायम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
परमात्मायम् अव्ययस्,-
अव्ययस्,-
अव्ययरुँ,[[ससजुषो रुः (8.2.66)]]
अव्ययर्,[[तस्य लोपः (1.3.9)]]
अव्ययः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
शरीरस्थस् अपि,-
शरीरस्थरुँ अपि,[[ससजुषो रुः (8.2.66)]]
शरीरस्थर् अपि,[[तस्य लोपः (1.3.9)]]
शरीरस्थ उ अपि,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
शरीरस्थो अपि,[[आद्गुणः (6.1.87)]]
शरीरस्थोऽपि,[[एङः पदान्तादति (6.1.109)]]
शरीरस्थोऽपि कौन्तेय,-
कौन्तेय न,-
न करोति,-
करोति न,-
न लिप्यते,-
लिप्यते,-
