स्थिति,सूत्र
योगी युञ्जीत,-
युञ्जीत सततम्,-
सततम् आत्मानम्,-
आत्मानम् रहसि,-
आत्मानं रहसि,[[मोऽनुस्वारः (8.3.23)]]
रहसि स्थितस्,-
स्थितस्,-
स्थितरुँ,[[ससजुषो रुः (8.2.66)]]
स्थितर्,[[तस्य लोपः (1.3.9)]]
स्थितः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
एकाकी यतचित्तात्मा,-
यतचित्तात्मा निराशीस्,-
निराशीस् अपरिग्रहस्,-
निराशीरुँ अपरिग्रहस्,[[ससजुषो रुः (8.2.66)]]
निराशीर् अपरिग्रहस्,[[तस्य लोपः (1.3.9)]]
अपरिग्रहस्,-
अपरिग्रहरुँ,[[ससजुषो रुः (8.2.66)]]
अपरिग्रहर्,[[तस्य लोपः (1.3.9)]]
अपरिग्रहः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
