स्थिति,सूत्र
मन्यसे यदि,-
यदि तत्,-
तत् शक्यम्,-
तद् शक्यम्,[[झलां जशोऽन्ते (8.2.39)]]
तज् शक्यम्,[[स्तोः श्चुना श्चुः (8.4.40)]]
तच् शक्यम्,[[खरि च (8.4.55)]]
तच्छक्यम्,[[शशछोऽटि (8.4.63)]]
तच्छक्यम् मया,-
तच्छक्यं मया,[[मोऽनुस्वारः (8.3.23)]]
मया द्रष्टुम्,-
द्रष्टुम् इति,-
इति प्रभो,-
प्रभो,-
योगेश्वर ततस्,-
ततस् मे,-
ततरुँ मे,[[ससजुषो रुः (8.2.66)]]
ततर् मे,[[तस्य लोपः (1.3.9)]]
तत उ मे,[[हशि च (6.1.114)]]
ततो मे,[[आद्गुणः (6.1.87)]]
मे त्वम्,-
त्वम् दर्शय,-
त्वं दर्शय,[[मोऽनुस्वारः (8.3.23)]]
दर्शय आत्मानम्,-
दर्शयात्मानम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
दर्शयात्मानम् अव्ययम्,-
अव्ययम्,-
