स्थिति,सूत्र
न अन्तस्,-
नान्तस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
नान्तस् अस्ति,-
नान्तरुँ अस्ति,[[ससजुषो रुः (8.2.66)]]
नान्तर् अस्ति,[[तस्य लोपः (1.3.9)]]
नान्त उ अस्ति,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
नान्तो अस्ति,[[आद्गुणः (6.1.87)]]
नान्तोऽस्ति,[[एङः पदान्तादति (6.1.109)]]
नान्तोऽस्ति मम,-
मम दिव्यानाम्,-
दिव्यानाम् विभूतीनाम्,-
दिव्यानां विभूतीनाम्,[[मोऽनुस्वारः (8.3.23)]]
विभूतीनाम् परन्तप,-
विभूतीनां परन्तप,[[मोऽनुस्वारः (8.3.23)]]
परन्तप,-
एषस् तु,-
एष तु,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
तु उद्देशतस्,-
तूद्देशतस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
तूद्देशतस् प्रोक्तस्,-
तूद्देशतरुँ प्रोक्तस्,[[ससजुषो रुः (8.2.66)]]
तूद्देशतर् प्रोक्तस्,[[तस्य लोपः (1.3.9)]]
तूद्देशतः प्रोक्तस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तूद्देशतः प्रोक्तस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रोक्तस् विभूतेस्,-
प्रोक्तरुँ विभूतेस्,[[ससजुषो रुः (8.2.66)]]
प्रोक्तर् विभूतेस्,[[तस्य लोपः (1.3.9)]]
प्रोक्त उ विभूतेस्,[[हशि च (6.1.114)]]
प्रोक्तो विभूतेस्,[[आद्गुणः (6.1.87)]]
विभूतेस् विस्तरस्,-
विभूतेरुँ विस्तरस्,[[ससजुषो रुः (8.2.66)]]
विभूतेर् विस्तरस्,[[तस्य लोपः (1.3.9)]]
विस्तरस् मया,-
विस्तररुँ मया,[[ससजुषो रुः (8.2.66)]]
विस्तरर् मया,[[तस्य लोपः (1.3.9)]]
विस्तर उ मया,[[हशि च (6.1.114)]]
विस्तरो मया,[[आद्गुणः (6.1.87)]]
मया,-
