स्थिति,सूत्र
योत्स्यमानान् अवेक्षे,-
अवेक्षे अहम्,-
अवेक्षेऽहम्,[[एङः पदान्तादति (6.1.109)]]
अवेक्षेऽहम् ये,-
अवेक्षेऽहं ये,[[मोऽनुस्वारः (8.3.23)]]
ये एते,-
यय् एते,[[एचोऽयवायावः (6.1.78)]]
य एते,[[लोपः शाकल्यस्य (8.3.19)]]
एते अत्र,-
एतेऽत्र,[[एङः पदान्तादति (6.1.109)]]
एतेऽत्र समागतास्,-
समागतास्,-
समागतारुँ,[[ससजुषो रुः (8.2.66)]]
समागतार्,[[तस्य लोपः (1.3.9)]]
समागताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
धार्तराष्ट्रस्य दुर्बुद्धेस्,-
दुर्बुद्धेस् युद्धे,-
दुर्बुद्धेरुँ युद्धे,[[ससजुषो रुः (8.2.66)]]
दुर्बुद्धेर् युद्धे,[[तस्य लोपः (1.3.9)]]
युद्धे प्रियचिकीर्षवस्,-
प्रियचिकीर्षवस्,-
प्रियचिकीर्षवरुँ,[[ससजुषो रुः (8.2.66)]]
प्रियचिकीर्षवर्,[[तस्य लोपः (1.3.9)]]
प्रियचिकीर्षवः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
