स्थिति,सूत्र
ज्ञेयम् यत्,-
ज्ञेयं यत्,[[मोऽनुस्वारः (8.3.23)]]
यत् तत्,-
यद् तत्,[[झलां जशोऽन्ते (8.2.39)]]
यत् तत्,[[खरि च (8.4.55)]]
तत् प्रवक्ष्यामि,-
तद् प्रवक्ष्यामि,[[झलां जशोऽन्ते (8.2.39)]]
तत् प्रवक्ष्यामि,[[खरि च (8.4.55)]]
प्रवक्ष्यामि यत्,-
यत् ज्ञात्वा,-
यद् ज्ञात्वा,[[झलां जशोऽन्ते (8.2.39)]]
यज् ज्ञात्वा,[[स्तोः श्चुना श्चुः (8.4.40)]]
ज्ञात्वा अमृतम्,-
ज्ञात्वामृतम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
ज्ञात्वामृतम् अश्नुते,-
अश्नुते,-
अनादिमत् परम्,-
अनादिमद् परम्,[[झलां जशोऽन्ते (8.2.39)]]
अनादिमत् परम्,[[खरि च (8.4.55)]]
परम् ब्रह्म,-
परं ब्रह्म,[[मोऽनुस्वारः (8.3.23)]]
ब्रह्म न,-
न सत्,-
सत् तत्,-
सद् तत्,[[झलां जशोऽन्ते (8.2.39)]]
सत् तत्,[[खरि च (8.4.55)]]
तत् न,-
तद् न,[[झलां जशोऽन्ते (8.2.39)]]
तन् न,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
न असत्,-
नासत्,[[अकः सवर्णे दीर्घः (6.1.101)]]
नासत् उच्यते,-
नासद् उच्यते,[[झलां जशोऽन्ते (8.2.39)]]
उच्यते,-
