स्थिति,सूत्र
असक्तिस् अनभिष्वङ्गस्,-
असक्तिरुँ अनभिष्वङ्गस्,[[ससजुषो रुः (8.2.66)]]
असक्तिर् अनभिष्वङ्गस्,[[तस्य लोपः (1.3.9)]]
अनभिष्वङ्गस् पुत्रदारगृहादिषु,-
अनभिष्वङ्गरुँ पुत्रदारगृहादिषु,[[ससजुषो रुः (8.2.66)]]
अनभिष्वङ्गर् पुत्रदारगृहादिषु,[[तस्य लोपः (1.3.9)]]
अनभिष्वङ्गः पुत्रदारगृहादिषु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अनभिष्वङ्गः पुत्रदारगृहादिषु,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
पुत्रदारगृहादिषु,-
नित्यम् च,-
नित्यं च,[[मोऽनुस्वारः (8.3.23)]]
च समचित्तत्वम्,-
समचित्तत्वम् इष्ट,-
इष्ट अनिष्टोपपत्तिषु,-
इष्टानिष्टोपपत्तिषु,[[अकः सवर्णे दीर्घः (6.1.101)]]
इष्टानिष्टोपपत्तिषु,-
