स्थिति,सूत्र
अयतिस् श्रद्धया,-
अयतिरुँ श्रद्धया,[[ससजुषो रुः (8.2.66)]]
अयतिर् श्रद्धया,[[तस्य लोपः (1.3.9)]]
अयतिः श्रद्धया,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अयतिः श्रद्धया,[[वा शरि (8.3.36)]]
श्रद्धया उपेतस्,-
श्रद्धयोपेतस्,[[आद्गुणः (6.1.87)]]
श्रद्धयोपेतस् योगात्,-
श्रद्धयोपेतरुँ योगात्,[[ससजुषो रुः (8.2.66)]]
श्रद्धयोपेतर् योगात्,[[तस्य लोपः (1.3.9)]]
श्रद्धयोपेत उ योगात्,[[हशि च (6.1.114)]]
श्रद्धयोपेतो योगात्,[[आद्गुणः (6.1.87)]]
योगात् चलितमानसस्,-
योगाद् चलितमानसस्,[[झलां जशोऽन्ते (8.2.39)]]
योगाज् चलितमानसस्,[[स्तोः श्चुना श्चुः (8.4.40)]]
योगाच् चलितमानसस्,[[खरि च (8.4.55)]]
चलितमानसस्,-
चलितमानसरुँ,[[ससजुषो रुः (8.2.66)]]
चलितमानसर्,[[तस्य लोपः (1.3.9)]]
चलितमानसः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अप्राप्य योगसंसिद्धिम्,-
योगसंसिद्धिम् काम्,-
योगसंसिद्धिं काम्,[[मोऽनुस्वारः (8.3.23)]]
काम् गतिम्,-
कां गतिम्,[[मोऽनुस्वारः (8.3.23)]]
गतिम् कृष्ण,-
गतिं कृष्ण,[[मोऽनुस्वारः (8.3.23)]]
कृष्ण गच्छति,-
गच्छति,-
