स्थिति,सूत्र
यत्र उपरमते,-
यत्रोपरमते,[[आद्गुणः (6.1.87)]]
यत्रोपरमते चित्तम्,-
चित्तम् निरुद्धम्,-
चित्तं निरुद्धम्,[[मोऽनुस्वारः (8.3.23)]]
निरुद्धम् योगसेवया,-
निरुद्धं योगसेवया,[[मोऽनुस्वारः (8.3.23)]]
योगसेवया,-
यत्र च,-
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव आत्मना,-
चैवात्मना,[[अकः सवर्णे दीर्घः (6.1.101)]]
चैवात्मना आत्मानम्,-
चैवात्मनात्मानम्,[[अकः सवर्णे दीर्घः (6.1.101)]]
चैवात्मनात्मानम् पश्यन्,-
चैवात्मनात्मानं पश्यन्,[[मोऽनुस्वारः (8.3.23)]]
पश्यन् आत्मनि,-
पश्यन्न् आत्मनि,[[ङमो ह्रस्वादचि ङमुण्नित्यम् (8.3.32)]]
आत्मनि तुष्यति,-
तुष्यति,-
