स्थिति,सूत्र
धूमस् रात्रिस्,-
धूमरुँ रात्रिस्,[[ससजुषो रुः (8.2.66)]]
धूमर् रात्रिस्,[[तस्य लोपः (1.3.9)]]
धूम उ रात्रिस्,[[हशि च (6.1.114)]]
धूमो रात्रिस्,[[आद्गुणः (6.1.87)]]
रात्रिस् तथा,-
रात्रिरुँ तथा,[[ससजुषो रुः (8.2.66)]]
रात्रिर् तथा,[[तस्य लोपः (1.3.9)]]
रात्रिः तथा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
रात्रिस् तथा,[[विसर्जनीयस्य सः (8.3.34)]]
तथा कृष्णस्,-
कृष्णस् षण्मासास्,-
कृष्णरुँ षण्मासास्,[[ससजुषो रुः (8.2.66)]]
कृष्णर् षण्मासास्,[[तस्य लोपः (1.3.9)]]
कृष्णः षण्मासास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कृष्णः षण्मासास्,[[वा शरि (8.3.36)]]
षण्मासास् दक्षिणायनम्,-
षण्मासारुँ दक्षिणायनम्,[[ससजुषो रुः (8.2.66)]]
षण्मासार् दक्षिणायनम्,[[तस्य लोपः (1.3.9)]]
षण्मासाय् दक्षिणायनम्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
षण्मासा दक्षिणायनम्,[[हलि सर्वेषाम् (8.3.22)]]
दक्षिणायनम्,-
तत्र चान्द्रमसम्,-
चान्द्रमसम् ज्योतिस्,-
चान्द्रमसं ज्योतिस्,[[मोऽनुस्वारः (8.3.23)]]
ज्योतिस् योगी,-
ज्योतिरुँ योगी,[[ससजुषो रुः (8.2.66)]]
ज्योतिर् योगी,[[तस्य लोपः (1.3.9)]]
योगी प्राप्य,-
प्राप्य निवर्तते,-
निवर्तते,-
