स्थिति,सूत्र
श्वशुरान् सुहृदस्,-
सुहृदस् च,-
सुहृदरुँ च,[[ससजुषो रुः (8.2.66)]]
सुहृदर् च,[[तस्य लोपः (1.3.9)]]
सुहृदः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
सुहृदस् च,[[विसर्जनीयस्य सः (8.3.34)]]
सुहृदश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च एव,-
चैव,[[वृद्धिरेचि (6.1.88)]]
चैव सेनयोस्,-
सेनयोस् उभयोस्,-
सेनयोरुँ उभयोस्,[[ससजुषो रुः (8.2.66)]]
सेनयोर् उभयोस्,[[तस्य लोपः (1.3.9)]]
उभयोस् अपि,-
उभयोरुँ अपि,[[ससजुषो रुः (8.2.66)]]
उभयोर् अपि,[[तस्य लोपः (1.3.9)]]
अपि,-
तान् समीक्ष्य,-
समीक्ष्य सस्,-
सस् कौन्तेयस्,-
स कौन्तेयस्,[[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]]
कौन्तेयस् सर्वान्,-
कौन्तेयरुँ सर्वान्,[[ससजुषो रुः (8.2.66)]]
कौन्तेयर् सर्वान्,[[तस्य लोपः (1.3.9)]]
कौन्तेयः सर्वान्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
कौन्तेयः सर्वान्,[[वा शरि (8.3.36)]]
सर्वान् बन्धून्,-
बन्धून् अवस्थितान्,-
अवस्थितान्,-
