स्थिति,सूत्र
तमस् तु,-
तमरुँ तु,[[ससजुषो रुः (8.2.66)]]
तमर् तु,[[तस्य लोपः (1.3.9)]]
तमः तु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
तमस् तु,[[विसर्जनीयस्य सः (8.3.34)]]
तु अज्ञानजम्,-
त्वज्ञानजम्,[[इको यणचि (6.1.77)]]
त्वज्ञानजम् विद्धि,-
त्वज्ञानजं विद्धि,[[मोऽनुस्वारः (8.3.23)]]
विद्धि मोहनम्,-
मोहनम् सर्वदेहिनाम्,-
मोहनं सर्वदेहिनाम्,[[मोऽनुस्वारः (8.3.23)]]
सर्वदेहिनाम्,-
प्रमादालस्यनिद्राभिस् तत्,-
प्रमादालस्यनिद्राभिरुँ तत्,[[ससजुषो रुः (8.2.66)]]
प्रमादालस्यनिद्राभिर् तत्,[[तस्य लोपः (1.3.9)]]
प्रमादालस्यनिद्राभिः तत्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रमादालस्यनिद्राभिस् तत्,[[विसर्जनीयस्य सः (8.3.34)]]
तत् निबध्नाति,-
तद् निबध्नाति,[[झलां जशोऽन्ते (8.2.39)]]
तन् निबध्नाति,[[यरोऽनुनासिकेऽनुनासिको वा (8.4.45)]]
निबध्नाति भारत,-
भारत,-
