स्थिति,सूत्र
रसस् अहम्,-
रसरुँ अहम्,[[ससजुषो रुः (8.2.66)]]
रसर् अहम्,[[तस्य लोपः (1.3.9)]]
रस उ अहम्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
रसो अहम्,[[आद्गुणः (6.1.87)]]
रसोऽहम्,[[एङः पदान्तादति (6.1.109)]]
रसोऽहम् अप्सु,-
अप्सु कौन्तेय,-
कौन्तेय प्रभा,-
प्रभा अस्मि,-
प्रभास्मि,[[अकः सवर्णे दीर्घः (6.1.101)]]
प्रभास्मि शशिसूर्ययोस्,-
शशिसूर्ययोस्,-
शशिसूर्ययोरुँ,[[ससजुषो रुः (8.2.66)]]
शशिसूर्ययोर्,[[तस्य लोपः (1.3.9)]]
शशिसूर्ययोः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रणवस् सर्ववेदेषु,-
प्रणवरुँ सर्ववेदेषु,[[ससजुषो रुः (8.2.66)]]
प्रणवर् सर्ववेदेषु,[[तस्य लोपः (1.3.9)]]
प्रणवः सर्ववेदेषु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रणवः सर्ववेदेषु,[[वा शरि (8.3.36)]]
सर्ववेदेषु शब्दस्,-
शब्दस् खे,-
शब्दरुँ खे,[[ससजुषो रुः (8.2.66)]]
शब्दर् खे,[[तस्य लोपः (1.3.9)]]
शब्दः खे,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
शब्दः खे,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
खे पौरुषम्,-
पौरुषम् नृषु,-
पौरुषं नृषु,[[मोऽनुस्वारः (8.3.23)]]
नृषु,-
