स्थिति,सूत्र
आयुःसत्त्वबलारोग्यसुखप्रीतिविवर्धनास्,-
आयुःसत्त्वबलारोग्यसुखप्रीतिविवर्धनारुँ,[[ससजुषो रुः (8.2.66)]]
आयुःसत्त्वबलारोग्यसुखप्रीतिविवर्धनार्,[[तस्य लोपः (1.3.9)]]
आयुःसत्त्वबलारोग्यसुखप्रीतिविवर्धनाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
रस्यास् स्निग्धास्,-
रस्यारुँ स्निग्धास्,[[ससजुषो रुः (8.2.66)]]
रस्यार् स्निग्धास्,[[तस्य लोपः (1.3.9)]]
रस्याः स्निग्धास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
रस्याः स्निग्धास्,[[वा शरि (8.3.36)]]
स्निग्धास् स्थिरास्,-
स्निग्धारुँ स्थिरास्,[[ससजुषो रुः (8.2.66)]]
स्निग्धार् स्थिरास्,[[तस्य लोपः (1.3.9)]]
स्निग्धाः स्थिरास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
स्निग्धाः स्थिरास्,[[वा शरि (8.3.36)]]
स्थिरास् हृद्यास्,-
स्थिरारुँ हृद्यास्,[[ससजुषो रुः (8.2.66)]]
स्थिरार् हृद्यास्,[[तस्य लोपः (1.3.9)]]
स्थिराय् हृद्यास्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
स्थिरा हृद्यास्,[[हलि सर्वेषाम् (8.3.22)]]
हृद्यास् आहारास्,-
हृद्यारुँ आहारास्,[[ससजुषो रुः (8.2.66)]]
हृद्यार् आहारास्,[[तस्य लोपः (1.3.9)]]
हृद्याय् आहारास्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
हृद्या आहारास्,[[लोपः शाकल्यस्य (8.3.19)]]
आहारास् सात्त्विकप्रियास्,-
आहारारुँ सात्त्विकप्रियास्,[[ससजुषो रुः (8.2.66)]]
आहारार् सात्त्विकप्रियास्,[[तस्य लोपः (1.3.9)]]
आहाराः सात्त्विकप्रियास्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आहाराः सात्त्विकप्रियास्,[[वा शरि (8.3.36)]]
सात्त्विकप्रियास्,-
सात्त्विकप्रियारुँ,[[ससजुषो रुः (8.2.66)]]
सात्त्विकप्रियार्,[[तस्य लोपः (1.3.9)]]
सात्त्विकप्रियाः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
