स्थिति,सूत्र
लोभस् प्रवृत्तिस्,-
लोभरुँ प्रवृत्तिस्,[[ससजुषो रुः (8.2.66)]]
लोभर् प्रवृत्तिस्,[[तस्य लोपः (1.3.9)]]
लोभः प्रवृत्तिस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
लोभः प्रवृत्तिस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
प्रवृत्तिस् आरम्भस्,-
प्रवृत्तिरुँ आरम्भस्,[[ससजुषो रुः (8.2.66)]]
प्रवृत्तिर् आरम्भस्,[[तस्य लोपः (1.3.9)]]
आरम्भस् कर्मणाम्,-
आरम्भरुँ कर्मणाम्,[[ससजुषो रुः (8.2.66)]]
आरम्भर् कर्मणाम्,[[तस्य लोपः (1.3.9)]]
आरम्भः कर्मणाम्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
आरम्भः कर्मणाम्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कर्मणाम् अशमस्,-
अशमस् स्पृहा,-
अशमरुँ स्पृहा,[[ससजुषो रुः (8.2.66)]]
अशमर् स्पृहा,[[तस्य लोपः (1.3.9)]]
अशमः स्पृहा,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
अशमः स्पृहा,[[वा शरि (8.3.36)]]
स्पृहा,-
रजसि एतानि,-
रजस्येतानि,[[इको यणचि (6.1.77)]]
रजस्येतानि जायन्ते,-
जायन्ते विवृद्धे,-
विवृद्धे भरतर्षभ,-
भरतर्षभ,-
