स्थिति,सूत्र
अनेकचित्तविभ्रान्तास् मोहजालसमावृतास्,-
अनेकचित्तविभ्रान्तारुँ मोहजालसमावृतास्,[[ससजुषो रुः (8.2.66)]]
अनेकचित्तविभ्रान्तार् मोहजालसमावृतास्,[[तस्य लोपः (1.3.9)]]
अनेकचित्तविभ्रान्ताय् मोहजालसमावृतास्,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
अनेकचित्तविभ्रान्ता मोहजालसमावृतास्,[[हलि सर्वेषाम् (8.3.22)]]
मोहजालसमावृतास्,-
मोहजालसमावृतारुँ,[[ससजुषो रुः (8.2.66)]]
मोहजालसमावृतार्,[[तस्य लोपः (1.3.9)]]
मोहजालसमावृताः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रसक्तास् कामभोगेषु,-
प्रसक्तारुँ कामभोगेषु,[[ससजुषो रुः (8.2.66)]]
प्रसक्तार् कामभोगेषु,[[तस्य लोपः (1.3.9)]]
प्रसक्ताः कामभोगेषु,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
प्रसक्ताः कामभोगेषु,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कामभोगेषु पतन्ति,-
पतन्ति नरके,-
नरके अशुचौ,-
नरकेऽशुचौ,[[एङः पदान्तादति (6.1.109)]]
नरकेऽशुचौ,-
