स्थिति,सूत्र
द्वौ इमौ,-
द्वाव् इमौ,[[एचोऽयवायावः (6.1.78)]]
द्वा इमौ,[[लोपः शाकल्यस्य (8.3.19)]]
इमौ पुरुषौ,-
पुरुषौ लोके,-
लोके क्षरस्,-
क्षरस् च,-
क्षररुँ च,[[ससजुषो रुः (8.2.66)]]
क्षरर् च,[[तस्य लोपः (1.3.9)]]
क्षरः च,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
क्षरस् च,[[विसर्जनीयस्य सः (8.3.34)]]
क्षरश् च,[[स्तोः श्चुना श्चुः (8.4.40)]]
च अक्षरस्,-
चाक्षरस्,[[अकः सवर्णे दीर्घः (6.1.101)]]
चाक्षरस् एव,-
चाक्षररुँ एव,[[ससजुषो रुः (8.2.66)]]
चाक्षरर् एव,[[तस्य लोपः (1.3.9)]]
चाक्षरय् एव,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
चाक्षर एव,[[लोपः शाकल्यस्य (8.3.19)]]
एव च,-
च,-
क्षरस् सर्वाणि,-
क्षररुँ सर्वाणि,[[ससजुषो रुः (8.2.66)]]
क्षरर् सर्वाणि,[[तस्य लोपः (1.3.9)]]
क्षरः सर्वाणि,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
क्षरः सर्वाणि,[[वा शरि (8.3.36)]]
सर्वाणि भूतानि,-
भूतानि कूटस्थस्,-
कूटस्थस् अक्षरस्,-
कूटस्थरुँ अक्षरस्,[[ससजुषो रुः (8.2.66)]]
कूटस्थर् अक्षरस्,[[तस्य लोपः (1.3.9)]]
कूटस्थ उ अक्षरस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
कूटस्थो अक्षरस्,[[आद्गुणः (6.1.87)]]
कूटस्थोऽक्षरस्,[[एङः पदान्तादति (6.1.109)]]
कूटस्थोऽक्षरस् उच्यते,-
कूटस्थोऽक्षररुँ उच्यते,[[ससजुषो रुः (8.2.66)]]
कूटस्थोऽक्षरर् उच्यते,[[तस्य लोपः (1.3.9)]]
कूटस्थोऽक्षरय् उच्यते,[[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]]
कूटस्थोऽक्षर उच्यते,[[लोपः शाकल्यस्य (8.3.19)]]
उच्यते,-
