स्थिति,सूत्र
रागी कर्मफलप्रेप्सुस्,-
कर्मफलप्रेप्सुस् लुब्धस्,-
कर्मफलप्रेप्सुरुँ लुब्धस्,[[ससजुषो रुः (8.2.66)]]
कर्मफलप्रेप्सुर् लुब्धस्,[[तस्य लोपः (1.3.9)]]
लुब्धस् हिंसात्मकस्,-
लुब्धरुँ हिंसात्मकस्,[[ससजुषो रुः (8.2.66)]]
लुब्धर् हिंसात्मकस्,[[तस्य लोपः (1.3.9)]]
लुब्ध उ हिंसात्मकस्,[[हशि च (6.1.114)]]
लुब्धो हिंसात्मकस्,[[आद्गुणः (6.1.87)]]
हिंसात्मकस् अशुचिस्,-
हिंसात्मकरुँ अशुचिस्,[[ससजुषो रुः (8.2.66)]]
हिंसात्मकर् अशुचिस्,[[तस्य लोपः (1.3.9)]]
हिंसात्मक उ अशुचिस्,[[अतो रोरप्लुतादप्लुते (6.1.113)]]
हिंसात्मको अशुचिस्,[[आद्गुणः (6.1.87)]]
हिंसात्मकोऽशुचिस्,[[एङः पदान्तादति (6.1.109)]]
हिंसात्मकोऽशुचिस्,-
हिंसात्मकोऽशुचिरुँ,[[ससजुषो रुः (8.2.66)]]
हिंसात्मकोऽशुचिर्,[[तस्य लोपः (1.3.9)]]
हिंसात्मकोऽशुचिः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
हर्षशोकान्वितस् कर्ता,-
हर्षशोकान्वितरुँ कर्ता,[[ससजुषो रुः (8.2.66)]]
हर्षशोकान्वितर् कर्ता,[[तस्य लोपः (1.3.9)]]
हर्षशोकान्वितः कर्ता,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
हर्षशोकान्वितः कर्ता,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
कर्ता राजसस्,-
राजसस् परिकीर्तितस्,-
राजसरुँ परिकीर्तितस्,[[ससजुषो रुः (8.2.66)]]
राजसर् परिकीर्तितस्,[[तस्य लोपः (1.3.9)]]
राजसः परिकीर्तितस्,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
राजसः परिकीर्तितस्,[[कुप्वोः ≍क≍पौ च (8.3.37)]]
परिकीर्तितस्,-
परिकीर्तितरुँ,[[ससजुषो रुः (8.2.66)]]
परिकीर्तितर्,[[तस्य लोपः (1.3.9)]]
परिकीर्तितः,[[खरवसानयोर्विसर्जनीयः (8.3.15)]]
