क्रमाङ्क,पदाः
13,"['ततस्', 'शङ्खास्', 'च', 'भेर्यस्', 'च', 'पणवानकगोमुखास्', '।', 'सहसा', 'एव', 'अभ्यहन्यन्त', 'सस्', 'शब्दस्तुमुलस्', 'अभवत्', '॥']"
14,"['ततस्', 'श्वेतैस्', 'हयैस्', 'युक्ते', 'महति', 'स्यन्दने', 'स्थितौ', '।', 'माधवस्', 'पाण्डवस्', 'च', 'एव', 'दिव्यौ', 'शङ्खौ', 'प्रदध्मतुस्', '॥']"
15,"['पाञ्चजन्यम्', 'हृषीकेशस्', 'देवदत्तम्', 'धनञ्जयस्', '।', 'पौण्ड्रम्', 'दध्मौ', 'महाशङ्खम्', 'भीमकर्मा', 'वृकोदरस्', '॥']"
16,"['अनन्तविजयम्', 'राजा', 'कुन्तीपुत्रस्', 'युधिष्ठिरस्', '।', 'नकुलस्', 'सहदेवस्', 'च', 'सुघोषमणिपुष्पकौ', '॥']"
17,"['काश्यस्', 'च', 'परमेष्वासस्', 'शिखण्डी', 'च', 'महारथस्', '।', 'धृष्टद्युम्नस्', 'विराटस्', 'च', 'सात्यकिस्', 'च', 'अपराजितस्', '॥']"
18,"['द्रुपदस्', 'द्रौपदेयास्', 'च', 'सर्वशस्', 'पृथिवीपते', '।', 'सौभद्रस्', 'च', 'महाबाहुस्', 'शङ्खान्', 'दध्मुस्', 'पृथक्पृथक्', '॥']"
19,"['सस्', 'घोषस्', 'धार्तराष्ट्राणाम्', 'हृदयानि', 'व्यदारयत्', '।', 'नभस्', 'च', 'पृथिवीम्', 'च', 'एव', 'तुमुलस्', 'अभ्यनुनादयन्', '॥']"
20,"['अथ', 'व्यवस्थितान्', 'दृष्ट्वा', 'धार्तराष्ट्रान्', 'कपिध्वजस्', '।', 'प्रवृत्ते', 'शस्त्रसम्पाते', 'धनुस्', 'उद्यम्य', 'पाण्डवस्', '॥']"
21,"['हृषीकेशम्', 'तदा', 'वाक्यम्', 'इदम्', 'आह', 'महीपते', '।', 'सेनयोस्', 'उभयोस्', 'मध्ये', 'रथम्', 'स्थापय', 'मे', 'अच्युत', '॥']"
22,"['यावत्', 'एतान्', 'निरीक्षे', 'अहम्', 'योद्धुकामान्', 'अवस्थितान्', '।', 'कैस्', 'मया', 'सह', 'योद्धव्यम्', 'अस्मिन्', 'रणसमुद्यमे', '॥']"
23,"['योत्स्यमानान्', 'अवेक्षे', 'अहम्', 'ये', 'एते', 'अत्र', 'समागतास्', '।', 'धार्तराष्ट्रस्य', 'दुर्बुद्धेस्', 'युद्धे', 'प्रियचिकीर्षवस्', '॥']"
24,"['एवम्', 'उक्तस्', 'हृषीकेशस्', 'गुडाकेशेन', 'भारत', '।', 'सेनयोस्', 'उभयोर्मध्ये', 'स्थापयित्वा', 'रथोत्तमम्', '॥']"
25,"['भीष्मद्रोणप्रमुखतस्', 'सर्वेषाम्', 'च', 'महीक्षिताम्', '।', 'उवाच', 'पार्थ', 'पश्य', 'एतान्', 'समवेतान्', 'कुरून्', 'इति', '॥']"
