क्रमाङ्क,पदाः
114,"['इन्द्रियाणाम्', 'हि', 'चरताम्', 'यत्', 'मनस्', 'अनुविधीयते', '।', 'तत्', 'अस्य', 'हरति', 'प्रज्ञाम्', 'वायुस्', 'नावम्', 'इव', 'अम्भसि', '॥']"
115,"['तस्मात्', 'यस्य', 'महाबाहो', 'निगृहीतानि', 'सर्वशस्', '।', 'इन्द्रियाणि', 'इन्द्रियार्थेभ्यस्', 'तस्य', 'प्रज्ञा', 'प्रतिष्ठिता', '॥']"
116,"['या', 'निशा', 'सर्वभूतानाम्', 'तस्याम्', 'जागर्ति', 'संयमी', '।', 'यस्याम्', 'जाग्रति', 'भूतानि', 'सा', 'निशा', 'पश्यतस्', 'मुनेस्', '॥']"
117,"['आपूर्यमाणम्', 'अचलप्रतिष्ठम्', 'समुद्रम्', 'आपस्', 'प्रविशन्ति', 'यद्वत्', '।', 'तद्वत्', 'कामास्', 'यम्', 'प्रविशन्ति', 'सर्वे', 'सस्', 'शान्तिम्', 'आप्नोति', 'न', 'कामकामी', '॥']"
118,"['विहाय', 'कामान्', 'यस्', 'सर्वान्', 'पुमान्', 'चरति', 'निःस्पृहस्', '।', 'निर्ममस्', 'निरहङ्कारस्', 'सस्', 'शान्तिम्', 'अधिगच्छति', '॥']"
119,"['एषा', 'ब्राह्मी', 'स्थितिस्', 'पार्थ', 'न', 'एनाम्', 'प्राप्य', 'विमुह्यति', '।', 'स्थित्वा', 'अस्याम्', 'अन्तकाले', 'अपि', 'ब्रह्मनिर्वाणम्', 'ऋच्छति', '॥']"
120,"['ज्यायसी', 'चेत्', 'कर्मणस्', 'ते', 'मता', 'बुद्धिस्', 'जनार्दन', '।', 'तत्', 'किम्', 'कर्मणि', 'घोरे', 'माम्', 'नियोजयसि', 'केशव', '॥']"
121,"['व्यामिश्रेण', 'इव', 'वाक्येन', 'बुद्धिम्', 'मोहयसि', 'इव', 'मे', '।', 'तत्', 'एकम्', 'वद', 'निश्चित्य', 'येन', 'श्रेयस्', 'अहम्', 'आप्नुयाम्', '॥']"
122,"['लोके', 'अस्मिन्', 'द्विविधा', 'निष्ठा', 'पुरा', 'प्रोक्ता', 'मया', 'अनघ', '।', 'ज्ञानयोगेन', 'साङ्ख्यानाम्', 'कर्मयोगेन', 'योगिनाम्', '॥']"
123,"['न', 'कर्मणाम्', 'अनारम्भात्', 'नैष्कर्म्यम्', 'पुरुषस्', 'अश्नुते', '।', 'न', 'च', 'संन्यसनात्', 'एव', 'सिद्धिम्', 'समधिगच्छति', '॥']"
124,"['न', 'हि', 'कश्चित्', 'क्षणम्', 'अपि', 'जातु', 'तिष्ठति', 'अकर्मकृत्', '।', 'कार्यते', 'हि', 'अवशस्', 'कर्म', 'सर्वस्', 'प्रकृतिजैस्', 'गुणैस्', '॥']"
125,"['कर्मेन्द्रियाणि', 'संयम्य', 'यस्', 'आस्ते', 'मनसा', 'स्मरन्', '।', 'इन्द्रियार्थान्', 'विमूढात्मा', 'मिथ्याचारस्', 'सस्', 'उच्यते', '॥']"
126,"['यस्', 'तु', 'इन्द्रियाणि', 'मनसा', 'नियम्य', 'आरभते', 'अर्जुन', '।', 'कर्मेन्द्रियैस्', 'कर्मयोगम्', 'असक्तस्', 'सस्', 'विशिष्यते', '॥']"
127,"['नियतम्', 'कुरु', 'कर्म', 'त्वम्', 'कर्म', 'ज्यायस्', 'हि', 'अकर्मणस्', '।', 'शरीरयात्रा', 'अपि', 'च', 'ते', 'न', 'प्रसिद्ध्येत्', 'अकर्मणस्', '॥']"
128,"['यज्ञार्थात्', 'कर्मणस्', 'अन्यत्र', 'लोकस्', 'अयम्', 'कर्मबन्धनस्', '।', 'तत्', 'अर्थम्', 'कर्म', 'कौन्तेय', 'मुक्तसङ्गस्', 'समाचर', '॥']"
129,"['सहयज्ञास्', 'प्रजास्', 'सृष्ट्वा', 'पुरा', 'उवाच', 'प्रजापतिस्', '।', 'अनेन', 'प्रसविष्यध्वम्', 'एषस्', 'वस्', 'अस्तु', 'इष्टकामधुक्', '॥']"
130,"['देवान्', 'भावयत', 'अनेन', 'ते', 'देवास्', 'भावयन्तु', 'वस्', '।', 'परस्परम्', 'भावयन्तस्', 'श्रेयस्', 'परम्', 'अवाप्स्यथ', '॥']"
131,"['इष्टान्', 'भोगान्', 'हि', 'वस्', 'देवास्', 'दास्यन्ते', 'यज्ञभावितास्', '।', 'तैस्', 'दत्तान्', 'अप्रदाय', 'एभ्यस्', 'यस्', 'भुङ्क्ते', 'स्तेनस्', 'एव', 'सस्', '॥']"
132,"['यज्ञशिष्ट', 'आशिनस्', 'सन्तस्', 'मुच्यन्ते', 'सर्वकिल्बिषैस्', '।', 'भुञ्जते', 'ते', 'तु', 'अघम्', 'पापास्', 'ये', 'पचन्ति', 'आत्मकारणात्', '॥']"
133,"['अन्नात्', 'भवन्ति', 'भूतानि', 'पर्जन्यात्', 'अन्नसम्भवस्', '।', 'यज्ञात्', 'भवति', 'पर्जन्यस्', 'यज्ञस्', 'कर्मसमुद्भवस्', '॥']"
134,"['कर्म', 'ब्रह्मोद्भवम्', 'विद्धि', 'ब्रह्म', 'अक्षरसमुद्भवम्', '।', 'तस्मात्', 'सर्वगतम्', 'ब्रह्म', 'नित्यम्', 'यज्ञे', 'प्रतिष्ठितम्', '॥']"
135,"['एवम्', 'प्रवर्तितम्', 'चक्रम्', 'न', 'अनुवर्तयति', 'इह', 'यस्', '।', 'अघायुस्', 'इन्द्रियारामस्', 'मोघम्', 'पार्थ', 'सस्', 'जीवति', '॥']"
136,"['यस्', 'तु', 'आत्मरतिस्', 'एव', 'स्यात्', 'आत्मतृप्तस्', 'च', 'मानवस्', '।', 'आत्मनि', 'एव', 'च', 'सन्तुष्टस्', 'तस्य', 'कार्यम्', 'न', 'विद्यते', '॥']"
137,"['न', 'एव', 'तस्य', 'कृतेन', 'अर्थस्', 'न', 'अकृतेन', 'इह', 'कश्चन', '।', 'न', 'च', 'अस्य', 'सर्वभूतेषु', 'कश्चित्', 'अर्थव्यपाश्रयस्', '॥']"
138,"['तस्मात्', 'असक्तस्', 'सततम्', 'कार्यम्', 'कर्म', 'समाचर', '।', 'असक्तस्', 'हि', 'आचरन्', 'कर्म', 'परम्', 'आप्नोति', 'पूरुषस्', '॥']"
139,"['कर्मणा', 'एव', 'हि', 'संसिद्धिम्', 'आस्थितास्', 'जनकादयस्', '।', 'लोकसङ्ग्रहम्', 'एव', 'अपि', 'सम्पश्यन्', 'कर्तुम्', 'अर्हसि', '॥']"
140,"['यत्', 'यत्', 'आचरति', 'श्रेष्ठस्', 'तत्', 'तत्', 'एव', 'इतरस्', 'जनस्', '।', 'सस्', 'यत्', 'प्रमाणम्', 'कुरुते', 'लोकस्', 'तत्', 'अनुवर्तते', '॥']"
141,"['न', 'मे', 'पार्थ', 'अस्ति', 'कर्तव्यम्', 'त्रिषु', 'लोकेषु', 'किञ्चन', '।', 'न', 'अनवाप्तम्', 'अवाप्तव्यम्', 'वर्ते', 'एव', 'च', 'कर्मणि', '॥']"
142,"['यदि', 'हि', 'अहम्', 'न', 'वर्तेयम्', 'जातु', 'कर्मणि', 'अतन्द्रितस्', '।', 'मम', 'वर्त्म', 'अनुवर्तन्ते', 'मनुष्यास्', 'पार्थ', 'सर्वशस्', '॥']"
143,"['उत्सीदेयुस्', 'इमे', 'लोकास्', 'न', 'कुर्याम्', 'कर्म', 'चेत्', 'अहम्', '।', 'सङ्करस्य', 'च', 'कर्ता', 'स्याम्', 'उपहन्याम्', 'इमास्', 'प्रजास्', '॥']"
144,"['सक्तास्', 'कर्मणि', 'अविद्वांसस्', 'यथा', 'कुर्वन्ति', 'भारत', '।', 'कुर्यात्', 'विद्वान्', 'तथा', 'असक्तस्', 'चिकीर्षुस्', 'लोकसङ्ग्रहम्', '॥']"
145,"['न', 'बुद्धिभेदम्', 'जनयेत्', 'अज्ञानाम्', 'कर्मसङ्गिनाम्', '।', 'जोषयेत्', 'सर्वकर्माणि', 'विद्वान्', 'युक्तस्', 'समाचरन्', '॥']"
146,"['प्रकृतेस्', 'क्रियमाणानि', 'गुणैस्', 'कर्माणि', 'सर्वशस्', '।', 'अहङ्कारविमूढात्मा', 'कर्ता', 'अहम्', 'इति', 'मन्यते', '॥']"
147,"['तत्त्ववित्', 'तु', 'महाबाहो', 'गुणकर्मविभागयोस्', '।', 'गुणास्', 'गुणेषु', 'वर्तन्ते', 'इति', 'मत्वा', 'न', 'सज्जते', '॥']"
148,"['प्रकृतेस्', 'गुणसम्मूढास्', 'सज्जन्ते', 'गुणकर्मसु', '।', 'तान्', 'अकृत्स्नविदस्', 'मन्दान्', 'कृत्स्नवित्', 'न', 'विचालयेत्', '॥']"
149,"['मयि', 'सर्वाणि', 'कर्माणि', 'संन्यस्य', 'अध्यात्मचेतसा', '।', 'निराशीस्', 'निर्ममस्', 'भूत्वा', 'युध्यस्व', 'विगतज्वरस्', '॥']"
150,"['ये', 'मे', 'मतम्', 'इदम्', 'नित्यम्', 'अनुतिष्ठन्ति', 'मानवास्', '।', 'श्रद्धावन्तस्', 'अनसूयन्तस्', 'मुच्यन्ते', 'ते', 'अपि', 'कर्मभिस्', '॥']"
151,"['ये', 'तु', 'एतत्', 'अभ्यसूयन्तस्', 'न', 'अनुतिष्ठन्ति', 'मे', 'मतम्', '।', 'सर्वज्ञानविमूढान्', 'तान्', 'विद्धि', 'नष्टान्', 'अचेतसस्', '॥']"
152,"['सदृशम्', 'चेष्टते', 'स्वस्यास्', 'प्रकृतेस्', 'ज्ञानवान्', 'अपि', '।', 'प्रकृतिम्', 'यान्ति', 'भूतानि', 'निग्रहस्', 'किम्', 'करिष्यति', '॥']"
153,"['इन्द्रियस्य', 'इन्द्रियस्यार्थे', 'रागद्वेषौ', 'व्यवस्थितौ', '।', 'तयोस्', 'न', 'वशम्', 'आगच्छेत्', 'तौ', 'हि', 'अस्य', 'परिपन्थिनौ', '॥']"
154,"['श्रेयान्', 'स्वधर्मस्', 'विगुणस्', 'परधर्मात्', 'स्वनुष्ठितात्', '।', 'स्वधर्मे', 'निधनम्', 'श्रेयस्', 'परधर्मस्', 'भयावहस्', '॥']"
155,"['अथ', 'केन', 'प्रयुक्तस्', 'अयम्', 'पापम्', 'चरति', 'पूरुषस्', '।', 'अनिच्छन्', 'अपि', 'वार्ष्णेय', 'बलात्', 'इव', 'नियोजितस्', '॥']"
156,"['कामस्', 'एषस्', 'क्रोधस्', 'एषस्', 'रजस्', 'गुणसमुद्भवस्', '।', 'महाशनस्', 'महापाप्मा', 'विद्धि', 'एनम्', 'इह', 'वैरिणम्', '॥']"
157,"['धूमेन', 'आव्रियते', 'वह्निस्', 'यथा', 'आदर्शस्', 'मलेन', 'च', '।', 'यथा', 'उल्बेन', 'आवृतस्', 'गर्भस्', 'तथा', 'तेन', 'इदम्', 'आवृतम्', '॥']"
158,"['आवृतम्', 'ज्ञानम्', 'एतेन', 'ज्ञानिनस्', 'नित्यवैरिणा', '।', 'कामरूपेण', 'कौन्तेय', 'दुष्पूरेण', 'अनलेन', 'च', '॥']"
159,"['इन्द्रियाणि', 'मनस्', 'बुद्धिस्', 'अस्य', 'अधिष्ठानम्', 'उच्यते', '।', 'एतैस्', 'विमोहयति', 'एषस्', 'ज्ञानम्', 'आवृत्य', 'देहिनम्', '॥']"
160,"['तस्मात्', 'त्वम्', 'इन्द्रियाणि', 'आदौ', 'नियम्य', 'भरतर्षभ', '।', 'पाप्मानम्', 'प्रजहि', 'हि', 'एनम्', 'ज्ञानविज्ञाननाशनम्', '॥']"
161,"['इन्द्रियाणि', 'पराणि', 'आहुस्', 'इन्द्रियेभ्यस्', 'परम्', 'मनस्', '।', 'मनसस्', 'तु', 'परा', 'बुद्धिस्', 'यस्', 'बुद्धेस्', 'परतस्', 'तु', 'सस्', '॥']"
162,"['एवम्', 'बुद्धेस्', 'परम्', 'बुद्ध्वा', 'संस्तभ्य', 'आत्मानम्', 'आत्मना', '।', 'जहि', 'शत्रुम्', 'महाबाहो', 'कामरूपम्', 'दुरासदम्', '॥']"
163,"['इमम्', 'विवस्वते', 'योगम्', 'प्रोक्तवान्', 'अहम्', 'अव्ययम्', '।', 'विवस्वान्', 'मनवे', 'प्राह', 'मनुस्', 'इक्ष्वाकवे', 'अब्रवीत्', '॥']"
164,"['एवम्', 'परम्पराप्राप्तम्', 'इमम्', 'राजर्षयस्', 'विदुस्', '।', 'सस्', 'कालेन', 'इह', 'महता', 'योगस्', 'नष्टस्', 'परन्तप', '॥']"
165,"['सस्', 'एव', 'अयम्', 'मया', 'ते', 'अद्य', 'योगस्', 'प्रोक्तस्', 'पुरातनस्', '।', 'भक्तस्', 'असि', 'मे', 'सखा', 'च', 'इति', 'रहस्यम्', 'हि', 'एतत्', 'उत्तमम्', '॥']"
166,"['अपरम्', 'भवतस्', 'जन्म', 'परम्', 'जन्म', 'विवस्वतस्', '।', 'कथम्', 'एतत्', 'विजानीयाम्', 'त्वम्', 'आदौ', 'प्रोक्तवान्', 'इति', '॥']"
167,"['बहूनि', 'मे', 'व्यतीतानि', 'जन्मानि', 'तव', 'च', 'अर्जुन', '।', 'तानि', 'अहम्', 'वेद', 'सर्वाणि', 'न', 'त्वम्', 'वेत्थ', 'परन्तप', '॥']"
168,"['अजस्', 'अपि', 'सन्', 'अव्ययात्मा', 'भूतानाम्', 'ईश्वरस्', 'अपि', 'सन्', '।', 'प्रकृतिम्', 'स्वाम्', 'अधिष्ठाय', 'सम्भवामि', 'आत्ममायया', '॥']"
169,"['यदा', 'यदा', 'हि', 'धर्मस्य', 'ग्लानिस्', 'भवति', 'भारत', '।', 'अभ्युत्थानम्', 'अधर्मस्य', 'तदा', 'आत्मानम्', 'सृजामि', 'अहम्', '॥']"
170,"['परित्राणाय', 'साधूनाम्', 'विनाशाय', 'च', 'दुष्कृताम्', '।', 'धर्मसंस्थापनार्थाय', 'सम्भवामि', 'युगे', 'युगे', '॥']"
171,"['जन्म', 'कर्म', 'च', 'मे', 'दिव्यम्', 'एवम्', 'यस्', 'वेत्ति', 'तत्त्वतस्', '।', 'त्यक्त्वा', 'देहम्', 'पुनस्', 'जन्म', 'न', 'एति', 'माम्', 'एति', 'सस्', 'अर्जुन', '॥']"
172,"['वीतरागभयक्रोधास्', 'मन्मयास्', 'माम्', 'उपाश्रितास्', '।', 'बहवस्', 'ज्ञानतपसा', 'पूतास्', 'मद्भावम्', 'आगतास्', '॥']"
173,"['ये', 'यथा', 'माम्', 'प्रपद्यन्ते', 'तान्', 'तथा', 'एव', 'भजाम्यि', 'अहम्', '।', 'मम', 'वर्त्म', 'अनुवर्तन्ते', 'मनुष्यास्', 'पार्थ', 'सर्वशस्', '॥']"
174,"['काङ्क्षन्तस्', 'कर्मणाम्', 'सिद्धिम्', 'यजन्ते', 'इह', 'देवतास्', '।', 'क्षिप्रम्', 'हि', 'मानुषे', 'लोके', 'सिद्धिस्', 'भवति', 'कर्मजा', '॥']"
175,"['चातुर्वर्ण्यम्', 'मया', 'सृष्टम्', 'गुणकर्मविभागशस्', '।', 'तस्य', 'कर्तारम्', 'अपि', 'माम्', 'विद्धि', 'अकर्तारम्', 'अव्ययम्', '॥']"
176,"['न', 'माम्', 'कर्माणि', 'लिम्पन्ति', 'न', 'मे', 'कर्मफले', 'स्पृहा', '।', 'इति', 'माम्', 'यस्', 'अभिजानाति', 'कर्मभिस्', 'न', 'सस्', 'बध्यते', '॥']"
177,"['एवम्', 'ज्ञात्वा', 'कृतम्', 'कर्म', 'पूर्वैस्', 'अपि', 'मुमुक्षुभिस्', '।', 'कुरु', 'कर्म', 'एव', 'तस्मात्', 'त्वम्', 'पूर्वैस्', 'पूर्वतरम्', 'कृतम्', '॥']"
178,"['किम्', 'कर्म', 'किम्', 'अकर्म', 'इति', 'कवयस्', 'अपि', 'अत्र', 'मोहितास्', '।', 'तत्', 'ते', 'कर्म', 'प्रवक्ष्यामि', 'यत्', 'ज्ञात्वा', 'मोक्ष्यसे', 'अशुभात्', '॥']"
179,"['कर्मणस्', 'हि', 'अपि', 'बोद्धव्यम्', 'बोद्धव्यम्', 'च', 'विकर्मणस्', '।', 'अकर्मणस्', 'च', 'बोद्धव्यम्', 'गहना', 'कर्मणस्', 'गतिस्', '॥']"
180,"['कर्मणि', 'अकर्म', 'यस्', 'पश्येत्', 'अकर्मणि', 'च', 'कर्म', 'यस्', '।', 'सस्', 'बुद्धिमान्', 'मनुष्येषु', 'सस्', 'युक्तस्', 'कृत्स्नकर्मकृत्', '॥']"
181,"['यस्य', 'सर्वे', 'समारम्भास्', 'कामसङ्कल्पवर्जितास्', '।', 'ज्ञानाग्निदग्धकर्माणम्', 'तम्', 'आहुस्', 'पण्डितम्', 'बुधास्', '॥']"
182,"['त्यक्त्वा', 'कर्मफलासङ्गम्', 'नित्यतृप्तस्', 'निराश्रयस्', '।', 'कर्मणि', 'अभिप्रवृत्तस्', 'अपि', 'न', 'एव', 'किञ्चित्', 'करोति', 'सस्', '॥']"
183,"['निराशीस्', 'यतचित्तात्मा', 'त्यक्तसर्वपरिग्रहस्', '।', 'शारीरम्', 'केवलम्', 'कर्म', 'कुर्वन्', 'न', 'आप्नोति', 'किल्बिषम्', '॥']"
184,"['यदृच्छालाभसन्तुष्टस्', 'द्वन्द्वातीतस्', 'विमत्सरस्', '।', 'समस्', 'सिद्धौ', 'असिद्धौ', 'च', 'कृत्वा', 'अपि', 'न', 'निबध्यते', '॥']"
185,"['गतसङ्गस्य', 'मुक्तस्य', 'ज्ञानावस्थितचेतसस्', '।', 'यज्ञाय', 'आचरतस्', 'कर्म', 'समग्रम्', 'प्रविलीयते', '॥']"
186,"['ब्रह्मार्पणम्', 'ब्रह्म', 'हविस्', 'ब्रह्माग्नौ', 'ब्रह्मणा', 'हुतम्', '।', 'ब्रह्म', 'एव', 'तेन', 'गन्तव्यम्', 'ब्रह्मकर्मसमाधिना', '॥']"
187,"['दैवम्', 'एव', 'अपरे', 'यज्ञम्', 'योगिनस्', 'पर्युपासते', '।', 'ब्रह्माग्नौ', 'अपरे', 'यज्ञम्', 'यज्ञेन', 'एव', 'उपजुह्वति', '॥']"
188,"['श्रोत्रादीनीन्द्रियाणि', 'अन्ये', 'संयमाग्निषु', 'जुह्वति', '।', 'शब्दादीन्', 'विषयान्', 'अन्ये', 'इन्द्रियाग्निषु', 'जुह्वति', '॥']"
189,"['सर्वाणि', 'इन्द्रियकर्माणि', 'प्राणकर्माणि', 'च', 'अपरे', '।', 'आत्मसंयमयोगाग्नौ', 'जुह्वति', 'ज्ञानदीपिते', '॥']"
190,"['द्रव्ययज्ञास्', 'तपोयज्ञास्', 'योगयज्ञास्', 'तथा', 'अपरे', '।', 'स्वाध्यायज्ञानयज्ञास्', 'च', 'यतयस्', 'संशितव्रतास्', '॥']"
191,"['अपाने', 'जुह्वति', 'प्राणम्', 'प्राणे', 'अपानम्', 'तथा', 'अपरे', '।', 'प्राणापानगती', 'रुद्ध्वा', 'प्राणायामपरायणास्', '॥']"
192,"['अपरे', 'नियताहारास्', 'प्राणान्', 'प्राणेषु', 'जुह्वति', '।', 'सर्वे', 'अपि', 'एते', 'यज्ञविदस्', 'यज्ञक्षपितकल्मषास्', '॥']"
193,"['यज्ञशिष्टामृतभुजस्', 'यान्ति', 'ब्रह्म', 'सनातनम्', '।', 'नायम्', 'लोकस्', 'अस्ति', 'अयज्ञस्य', 'कुतस्', 'अन्यस्', 'कुरुसत्तम', '॥']"
194,"['एवम्', 'बहुविधास्', 'यज्ञास्', 'विततास्', 'ब्रह्मणस्', 'मुखे', '।', 'कर्मजान्', 'विद्धि', 'तान्', 'सर्वान्', 'एवम्', 'ज्ञात्वा', 'विमोक्ष्यसे', '॥']"
195,"['श्रेयान्', 'द्रव्यमयात्', 'यज्ञात्', 'ज्ञानयज्ञस्', 'परन्तप', '।', 'सर्वम्', 'कर्माखिलम्', 'पार्थ', 'ज्ञाने', 'परिसमाप्यते', '॥']"
196,"['तत्', 'विद्धि', 'प्रणिपातेन', 'परिप्रश्नेन', 'सेवया', '।', 'उपदेक्ष्यन्ति', 'ते', 'ज्ञानम्', 'ज्ञानिनस्', 'तत्त्वदर्शिनस्', '॥']"
197,"['यत्', 'ज्ञात्वा', 'न', 'पुनर्', 'मोहम्', 'एवम्', 'यास्यसि', 'पाण्डव', '।', 'येन', 'भूतानि', 'अशेषेण', 'द्रक्ष्यसि', 'आत्मनि', 'अथो', 'मयि', '॥']"
198,"['अपि', 'चेत्', 'असि', 'पापेभ्यस्', 'सर्वेभ्यस्', 'पापकृत्तमस्', '।', 'सर्वम्', 'ज्ञानप्लवेन', 'एव', 'वृजिनम्', 'सन्तरिष्यसि', '॥']"
199,"['यथा', 'एधांसि', 'समिद्धस्', 'अग्निस्', 'भस्मसात्', 'कुरुते', 'अर्जुन', '।', 'ज्ञानाग्निस्', 'सर्वकर्माणि', 'भस्मसात्', 'कुरुते', 'तथा', '॥']"
200,"['न', 'हि', 'ज्ञानेन', 'सदृशम्', 'पवित्रम्', 'इह', 'विद्यते', '।', 'तत्', 'स्वयम्', 'योगसंसिद्धस्', 'कालेन', 'आत्मनि', 'विन्दति', '॥']"
201,"['श्रद्धावान्', 'लभते', 'ज्ञानम्', 'तत्परस्', 'संयतेन्द्रियस्', '।', 'ज्ञानम्', 'लब्ध्वा', 'पराम्', 'शान्तिम्', 'अचिरेणाधिगच्छति', '॥']"
202,"['अज्ञस्', 'च', 'अश्रद्दधानस्', 'च', 'संशयात्मा', 'विनश्यति', '।', 'न', 'अयम्', 'लोकस्', 'अस्ति', 'न', 'परस्', 'न', 'सुखम्', 'संशयात्मनस्', '॥']"
203,"['योगसंन्यस्तकर्माणम्', 'ज्ञानसञ्छिन्नसंशयम्', '।', 'आत्मवन्तम्', 'न', 'कर्माणि', 'निबध्नन्ति', 'धनञ्जय', '॥']"
204,"['तस्मात्', 'अज्ञानसम्भूतम्', 'हृत्स्थम्', 'ज्ञानासिनात्मनस्', '।', 'छित्त्वा', 'एनम्', 'संशयम्', 'योगम्', 'आतिष्ठ', 'उत्तिष्ठ', 'भारत', '॥']"
205,"['संन्यासम्', 'कर्मणाम्', 'कृष्ण', 'पुनर्', 'योगम्', 'च', 'शंससि', '।', 'यत्', 'श्रेयस्', 'एतयोस्', 'एकम्', 'तत्', 'मे', 'ब्रूहि', 'सुनिश्चितम्', '॥']"
206,"['संन्यासस्', 'कर्मयोगस्', 'च', 'निःश्रेयसकरौ', 'उभौ', '।', 'तयोस्', 'तु', 'कर्मसंन्यासात्', 'कर्मयोगस्', 'विशिष्यते', '॥']"
207,"['ज्ञेयस्', 'सस्', 'नित्यसंन्यासी', 'यस्', 'न', 'द्वेष्टि', 'न', 'काङ्क्षति', '।', 'निर्द्वन्द्वस्', 'हि', 'महाबाहो', 'सुखम्', 'बन्धात्', 'प्रमुच्यते', '॥']"
208,"['साङ्ख्ययोगौ', 'पृथक्', 'बालास्', 'प्रवदन्ति', 'न', 'पण्डितास्', '।', 'एकम्', 'अपि', 'आस्थितस्', 'सम्यक्', 'उभयोस्', 'विन्दते', 'फलम्', '॥']"
209,"['यत्', 'साङ्ख्यैस्', 'प्राप्यते', 'स्थानम्', 'तत्', 'योगैस्', 'अपि', 'गम्यते', '।', 'एकम्', 'साङ्ख्यम्', 'च', 'योगम्', 'च', 'यस्', 'पश्यति', 'सस्', 'पश्यति', '॥']"
210,"['संन्यासस्', 'तु', 'महाबाहो', 'दुःखम्', 'आप्तुम्', 'अयोगतस्', '।', 'योगयुक्तस्', 'मुनिस्', 'ब्रह्म', 'नचिरेण', 'अधिगच्छति', '॥']"
211,"['योगयुक्तस्', 'विशुद्धात्मा', 'विजितात्मा', 'जितेन्द्रियस्', '।', 'सर्वभूतात्मभूतात्मा', 'कुर्वन्', 'अपि', 'न', 'लिप्यते', '॥']"
212,"['न', 'एव', 'किञ्चित्', 'करोमि', 'इति', 'युक्तस्', 'मन्येत', 'तत्त्ववित्', '।', 'पश्यन्', 'शृण्वन्', 'स्पृशन्', 'जिघ्रन्', 'अश्नन्', 'गच्छन्', 'स्वपन्', 'श्वसन्', '॥']"
213,"['प्रलपन्', 'विसृजन्', 'गृह्णन्', 'उन्मिषन्', 'निमिषन्', 'अपि', '।', 'इन्द्रियाणि', 'इन्द्रियार्थेषु', 'वर्तन्ते', 'इति', 'धारयन्', '॥']"
214,"['ब्रह्मणि', 'आधाय', 'कर्माणि', 'सङ्गम्', 'त्यक्त्वा', 'करोति', 'यस्', '।', 'लिप्यते', 'न', 'सस्', 'पापेन', 'पद्मपत्रम्', 'इव', 'अम्भसा', '॥']"
215,"['कायेन', 'मनसा', 'बुद्ध्या', 'केवलैस्', 'इन्द्रियैस्', 'अपि', '।', 'योगिनस्', 'कर्म', 'कुर्वन्ति', 'सङ्गम्', 'त्यक्त्वा', 'आत्मशुद्धये', '॥']"
216,"['युक्तस्', 'कर्मफलम्', 'त्यक्त्वा', 'शान्तिम्', 'आप्नोति', 'नैष्ठिकीम्', '।', 'अयुक्तस्', 'कामकारेण', 'फले', 'सक्तस्', 'निबध्यते', '॥']"
217,"['सर्वकर्माणि', 'मनसा', 'संन्यस्य', 'आस्ते', 'सुखम्', 'वशी', '।', 'नवद्वारे', 'पुरे', 'देही', 'न', 'एव', 'कुर्वन्', 'न', 'कारयन्', '॥']"
218,"['न', 'कर्तृत्वम्', 'न', 'कर्माणि', 'लोकस्य', 'सृजति', 'प्रभुस्', '।', 'न', 'कर्मफलसंयोगम्', 'स्वभावस्', 'तु', 'प्रवर्तते', '॥']"
219,"['न', 'आदत्ते', 'कस्यचित्', 'पापम्', 'न', 'च', 'एव', 'सुकृतम्', 'विभुस्', '।', 'अज्ञानेन', 'आवृतम्', 'ज्ञानम्', 'तेन', 'मुह्यन्ति', 'जन्तवस्', '॥']"
220,"['ज्ञानेन', 'तु', 'तत्', 'अज्ञानम्', 'येषाम्', 'नाशितम्', 'आत्मनस्', '।', 'तेषाम्', 'आदित्यवत्', 'ज्ञानम्', 'प्रकाशयति', 'तत्', 'परम्', '॥']"
221,"['तत्', 'बुद्धयस्', 'तत्', 'आत्मानस्', 'तत्', 'निष्ठास्', 'तत्', 'परायणास्', '।', 'गच्छन्ति', 'अपुनरावृत्तिम्', 'ज्ञाननिर्धूतकल्मषास्', '॥']"
222,"['विद्याविनयसम्पन्ने', 'ब्राह्मणे', 'गवि', 'हस्तिनि', '।', 'शुनि', 'च', 'एव', 'श्वपाके', 'च', 'पण्डितास्', 'समदर्शिनस्', '॥']"
223,"['इह', 'एव', 'तैस्', 'जितस्', 'सर्गस्', 'येषाम्', 'साम्ये', 'स्थितम्', 'मनस्', '।', 'निर्दोषम्', 'हि', 'समम्', 'ब्रह्म', 'तस्मात्', 'ब्रह्मणि', 'ते', 'स्थितास्', '॥']"
224,"['न', 'प्रहृष्येत्', 'प्रियम्', 'प्राप्य', 'न', 'उद्विजेत्', 'प्राप्य', 'च', 'अप्रियम्', '।', 'स्थिरबुद्धिस्', 'असम्मूढस्', 'ब्रह्मवित्', 'ब्रह्मणि', 'स्थितस्', '॥']"
225,"['बाह्यस्पर्शेषु', 'असक्तात्मा', 'विन्दति', 'आत्मनि', 'यत्', 'सुखम्', '।', 'सस्', 'ब्रह्मयोगयुक्तात्मा', 'सुखम्', 'अक्षयम्', 'अश्नुते', '॥']"
226,"['ये', 'हि', 'संस्पर्शजास्', 'भोगास्', 'दुःखयोनयस्', 'एव', 'ते', '।', 'आदि', 'अन्तवन्तस्', 'कौन्तेय', 'न', 'तेषु', 'रमते', 'बुधस्', '॥']"
