पद समूह,सूत्राणि,संधि-कृत रूप
प्रवृत्तिम् च,- [[मोऽनुस्वारः (8.3.23)]],प्रवृत्तिं च
च निवृत्तिम्,-,च निवृत्तिम्
निवृत्तिम् च,- [[मोऽनुस्वारः (8.3.23)]],निवृत्तिं च
च जनास्,-,च जनास्
जनास् न,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[हलि सर्वेषाम् (8.3.22)]],जना न
न विदुस्,-,न विदुस्
विदुस् आसुरास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],विदुर् आसुरास्
आसुरास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],आसुराः
न शौचम्,-,न शौचम्
शौचम् न,- [[मोऽनुस्वारः (8.3.23)]],शौचं न
न अपि,- [[अकः सवर्णे दीर्घः (6.1.101)]],नापि
नापि च,-,नापि च
च आचारस्,- [[अकः सवर्णे दीर्घः (6.1.101)]],चाचारस्
चाचारस् न,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],चाचारो न
न सत्यम्,-,न सत्यम्
सत्यम् तेषु,- [[मोऽनुस्वारः (8.3.23)]],सत्यं तेषु
तेषु विद्यते,-,तेषु विद्यते
विद्यते,-,विद्यते
