पद समूह,सूत्राणि,संधि-कृत रूप
विद्याविनयसम्पन्ने ब्राह्मणे,-,विद्याविनयसम्पन्ने ब्राह्मणे
ब्राह्मणे गवि,-,ब्राह्मणे गवि
गवि हस्तिनि,-,गवि हस्तिनि
हस्तिनि,-,हस्तिनि
शुनि च,-,शुनि च
च एव,- [[वृद्धिरेचि (6.1.88)]],चैव
चैव श्वपाके,-,चैव श्वपाके
श्वपाके च,-,श्वपाके च
च पण्डितास्,-,च पण्डितास्
पण्डितास् समदर्शिनस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],पण्डिताः समदर्शिनस्
समदर्शिनस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],समदर्शिनः
