पद समूह,सूत्राणि,संधि-कृत रूप
अहङ्कारम् बलम्,- [[मोऽनुस्वारः (8.3.23)]],अहङ्कारं बलम्
बलम् दर्पम्,- [[मोऽनुस्वारः (8.3.23)]],बलं दर्पम्
दर्पम् कामम्,- [[मोऽनुस्वारः (8.3.23)]],दर्पं कामम्
कामम् क्रोधम्,- [[मोऽनुस्वारः (8.3.23)]],कामं क्रोधम्
क्रोधम् परिग्रहम्,- [[मोऽनुस्वारः (8.3.23)]],क्रोधं परिग्रहम्
परिग्रहम्,-,परिग्रहम्
विमुच्य निर्ममस्,-,विमुच्य निर्ममस्
निर्ममस् शान्तस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],निर्ममः शान्तस्
शान्तस् ब्रह्मभूयाय,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],शान्तो ब्रह्मभूयाय
ब्रह्मभूयाय कल्पते,-,ब्रह्मभूयाय कल्पते
कल्पते,-,कल्पते
