पद समूह,सूत्राणि,संधि-कृत रूप
यत् यत्,- [[झलां जशोऽन्ते (8.2.39)]],यद् यत्
यत् आचरति,- [[झलां जशोऽन्ते (8.2.39)]],यद् आचरति
आचरति श्रेष्ठस्,-,आचरति श्रेष्ठस्
श्रेष्ठस् तत्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],श्रेष्ठस् तत्
तत् तत्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],तत् तत्
तत् एव,- [[झलां जशोऽन्ते (8.2.39)]],तद् एव
एव इतरस्,- [[आद्गुणः (6.1.87)]],एवेतरस्
एवेतरस् जनस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],एवेतरो जनस्
जनस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],जनः
सस् यत्,- [[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]],स यत्
यत् प्रमाणम्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],यत् प्रमाणम्
प्रमाणम् कुरुते,- [[मोऽनुस्वारः (8.3.23)]],प्रमाणं कुरुते
कुरुते लोकस्,-,कुरुते लोकस्
लोकस् तत्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],लोकस् तत्
तत् अनुवर्तते,- [[झलां जशोऽन्ते (8.2.39)]],तद् अनुवर्तते
अनुवर्तते,-,अनुवर्तते
