पद समूह,सूत्राणि,संधि-कृत रूप
सर्वधर्मान् परित्यज्य,-,सर्वधर्मान् परित्यज्य
परित्यज्य माम्,-,परित्यज्य माम्
माम् एकम्,-,माम् एकम्
एकम् शरणम्,- [[मोऽनुस्वारः (8.3.23)]],एकं शरणम्
शरणम् व्रज,- [[मोऽनुस्वारः (8.3.23)]],शरणं व्रज
व्रज,-,व्रज
अहम् त्वा,- [[मोऽनुस्वारः (8.3.23)]],अहं त्वा
त्वा सर्वपापेभ्यस्,-,त्वा सर्वपापेभ्यस्
सर्वपापेभ्यस् मोक्षयिष्यामि,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],सर्वपापेभ्यो मोक्षयिष्यामि
मोक्षयिष्यामि मा,-,मोक्षयिष्यामि मा
मा शुचस्,-,मा शुचस्
शुचस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],शुचः
