पद समूह,सूत्राणि,संधि-कृत रूप
स्वे स्वे,-,स्वे स्वे
स्वे कर्मणि,-,स्वे कर्मणि
कर्मणि अभिरतस्,- [[इको यणचि (6.1.77)]],कर्मण्यभिरतस्
कर्मण्यभिरतस् संसिद्धिम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],कर्मण्यभिरतः संसिद्धिम्
संसिद्धिम् लभते,- [[मोऽनुस्वारः (8.3.23)]],संसिद्धिं लभते
लभते नरस्,-,लभते नरस्
नरस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],नरः
स्वकर्मनिरतस् सिद्धिम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],स्वकर्मनिरतः सिद्धिम्
सिद्धिम् यथा,- [[मोऽनुस्वारः (8.3.23)]],सिद्धिं यथा
यथा विन्दति,-,यथा विन्दति
विन्दति तत्,-,विन्दति तत्
तत् शृणु,- [[झलां जशोऽन्ते (8.2.39)]] [[स्तोः श्चुना श्चुः (8.4.40)]] [[खरि च (8.4.55)]] [[शशछोऽटि (8.4.63)]],तच्छृणु
तच्छृणु,-,तच्छृणु
