पद समूह,सूत्राणि,संधि-कृत रूप
ओम् तत्,- [[मोऽनुस्वारः (8.3.23)]],ओं तत्
तत् सत्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],तत् सत्
सत् इति,- [[झलां जशोऽन्ते (8.2.39)]],सद् इति
इति निर्देशस्,-,इति निर्देशस्
निर्देशस् ब्रह्मणस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],निर्देशो ब्रह्मणस्
ब्रह्मणस् त्रिविधस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],ब्रह्मणस् त्रिविधस्
त्रिविधस् स्मृतस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],त्रिविधः स्मृतस्
स्मृतस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],स्मृतः
ब्राह्मणास् तेन,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],ब्राह्मणास् तेन
तेन वेदास्,-,तेन वेदास्
वेदास् च,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]] [[स्तोः श्चुना श्चुः (8.4.40)]],वेदाश् च
च यज्ञास्,-,च यज्ञास्
यज्ञास् च,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]] [[स्तोः श्चुना श्चुः (8.4.40)]],यज्ञाश् च
च विहितास्,-,च विहितास्
विहितास् पुरा,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],विहिताः पुरा
पुरा,-,पुरा
