पद समूह,सूत्राणि,संधि-कृत रूप
अफलाकाङ्क्षिभिस् यज्ञस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],अफलाकाङ्क्षिभिर् यज्ञस्
यज्ञस् विधिदृष्टस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],यज्ञो विधिदृष्टस्
विधिदृष्टस् यस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],विधिदृष्टो यस्
यस् इज्यते,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[लोपः शाकल्यस्य (8.3.19)]],य इज्यते
इज्यते,-,इज्यते
यष्टव्यम् एव,-,यष्टव्यम् एव
एव इति,- [[आद्गुणः (6.1.87)]],एवेति
एवेति मनस्,-,एवेति मनस्
मनस् समाधाय,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],मनः समाधाय
समाधाय सस्,-,समाधाय सस्
सस् सात्त्विकस्,- [[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]],स सात्त्विकस्
सात्त्विकस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],सात्त्विकः
