पद समूह,सूत्राणि,संधि-कृत रूप
अहंकारम् बलम्,- [[मोऽनुस्वारः (8.3.23)]],अहंकारं बलम्
बलम् दर्पम्,- [[मोऽनुस्वारः (8.3.23)]],बलं दर्पम्
दर्पम् कामम्,- [[मोऽनुस्वारः (8.3.23)]],दर्पं कामम्
कामम् क्रोधम्,- [[मोऽनुस्वारः (8.3.23)]],कामं क्रोधम्
क्रोधम् च,- [[मोऽनुस्वारः (8.3.23)]],क्रोधं च
च संश्रितास्,-,च संश्रितास्
संश्रितास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],संश्रिताः
माम् आत्मपरदेहेषु,-,माम् आत्मपरदेहेषु
आत्मपरदेहेषु प्रद्विषन्तस्,-,आत्मपरदेहेषु प्रद्विषन्तस्
प्रद्विषन्तस् अभ्यसूयकास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[अतो रोरप्लुतादप्लुते (6.1.113)]] [[आद्गुणः (6.1.87)]] [[एङः पदान्तादति (6.1.109)]],प्रद्विषन्तोऽभ्यसूयकास्
प्रद्विषन्तोऽभ्यसूयकास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],प्रद्विषन्तोऽभ्यसूयकाः
