पद समूह,सूत्राणि,संधि-कृत रूप
शुचौ देशे,-,शुचौ देशे
देशे प्रतिष्ठाप्य,-,देशे प्रतिष्ठाप्य
प्रतिष्ठाप्य स्थिरम्,-,प्रतिष्ठाप्य स्थिरम्
स्थिरम् आसनम्,-,स्थिरम् आसनम्
आसनम् आत्मनस्,-,आसनम् आत्मनस्
आत्मनस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],आत्मनः
न अत्युच्छ्रितम्,- [[अकः सवर्णे दीर्घः (6.1.101)]],नात्युच्छ्रितम्
नात्युच्छ्रितम् न,- [[मोऽनुस्वारः (8.3.23)]],नात्युच्छ्रितं न
न अतिनीचम्,- [[अकः सवर्णे दीर्घः (6.1.101)]],नातिनीचम्
नातिनीचम् चैलाजिनकुशोत्तरम्,- [[मोऽनुस्वारः (8.3.23)]],नातिनीचं चैलाजिनकुशोत्तरम्
चैलाजिनकुशोत्तरम्,-,चैलाजिनकुशोत्तरम्
