पद समूह,सूत्राणि,संधि-कृत रूप
यस्य न,-,यस्य न
न अहङ्कृतस्,- [[अकः सवर्णे दीर्घः (6.1.101)]],नाहङ्कृतस्
नाहङ्कृतस् भावस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],नाहङ्कृतो भावस्
भावस् बुद्धिस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],भावो बुद्धिस्
बुद्धिस् यस्य,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],बुद्धिर् यस्य
यस्य न,-,यस्य न
न लिप्यते,-,न लिप्यते
लिप्यते,-,लिप्यते
हत्वा अपि,- [[अकः सवर्णे दीर्घः (6.1.101)]],हत्वापि
हत्वापि सस्,-,हत्वापि सस्
सस् इमान्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[लोपः शाकल्यस्य (8.3.19)]],स इमान्
इमान् लोकान्,- [[तोर्लि (8.4.60)]],इमाल् लोकान्
लोकान् न,-,लोकान् न
न हन्ति,-,न हन्ति
हन्ति न,-,हन्ति न
न निबध्यते,-,न निबध्यते
निबध्यते,-,निबध्यते
