पद समूह,सूत्राणि,संधि-कृत रूप
मूढग्राहेण आत्मनस्,- [[अकः सवर्णे दीर्घः (6.1.101)]],मूढग्राहेणात्मनस्
मूढग्राहेणात्मनस् यत्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],मूढग्राहेणात्मनो यत्
यत् पीडया,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],यत् पीडया
पीडया क्रियते,-,पीडया क्रियते
क्रियते तपस्,-,क्रियते तपस्
तपस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],तपः
परस्य उत्सादनार्थम्,- [[आद्गुणः (6.1.87)]],परस्योत्सादनार्थम्
परस्योत्सादनार्थम् वा,- [[मोऽनुस्वारः (8.3.23)]],परस्योत्सादनार्थं वा
वा तत्,-,वा तत्
तत् तामसम्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],तत् तामसम्
तामसम् उदाहृतम्,-,तामसम् उदाहृतम्
उदाहृतम्,-,उदाहृतम्
