पद समूह,सूत्राणि,संधि-कृत रूप
कर्षयन्तस् शरीरस्थम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],कर्षयन्तः शरीरस्थम्
शरीरस्थम् भूतग्रामम्,- [[मोऽनुस्वारः (8.3.23)]],शरीरस्थं भूतग्रामम्
भूतग्रामम् अचेतसस्,-,भूतग्रामम् अचेतसस्
अचेतसस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],अचेतसः
माम् च,- [[मोऽनुस्वारः (8.3.23)]],मां च
च एव,- [[वृद्धिरेचि (6.1.88)]],चैव
चैव अन्तःशरीरस्थम्,- [[अकः सवर्णे दीर्घः (6.1.101)]],चैवान्तःशरीरस्थम्
चैवान्तःशरीरस्थम् तान्,- [[मोऽनुस्वारः (8.3.23)]],चैवान्तःशरीरस्थं तान्
तान् विद्धि,-,तान् विद्धि
विद्धि आसुरनिश्चयान्,- [[इको यणचि (6.1.77)]],विद्ध्यासुरनिश्चयान्
विद्ध्यासुरनिश्चयान्,-,विद्ध्यासुरनिश्चयान्
