पद समूह,सूत्राणि,संधि-कृत रूप
बाह्यस्पर्शेषु असक्तात्मा,- [[इको यणचि (6.1.77)]],बाह्यस्पर्शेष्वसक्तात्मा
बाह्यस्पर्शेष्वसक्तात्मा विन्दति,-,बाह्यस्पर्शेष्वसक्तात्मा विन्दति
विन्दति आत्मनि,- [[इको यणचि (6.1.77)]],विन्दत्यात्मनि
विन्दत्यात्मनि यत्,-,विन्दत्यात्मनि यत्
यत् सुखम्,- [[झलां जशोऽन्ते (8.2.39)]] [[खरि च (8.4.55)]],यत् सुखम्
सुखम्,-,सुखम्
सस् ब्रह्मयोगयुक्तात्मा,- [[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]],स ब्रह्मयोगयुक्तात्मा
ब्रह्मयोगयुक्तात्मा सुखम्,-,ब्रह्मयोगयुक्तात्मा सुखम्
सुखम् अक्षयम्,-,सुखम् अक्षयम्
अक्षयम् अश्नुते,-,अक्षयम् अश्नुते
अश्नुते,-,अश्नुते
