पद समूह,सूत्राणि,संधि-कृत रूप
सर्वकर्माणि अपि,- [[इको यणचि (6.1.77)]],सर्वकर्माण्यपि
सर्वकर्माण्यपि सदा,-,सर्वकर्माण्यपि सदा
सदा कुर्वाणस्,-,सदा कुर्वाणस्
कुर्वाणस् मद्व्यपाश्रयस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],कुर्वाणो मद्व्यपाश्रयस्
मद्व्यपाश्रयस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],मद्व्यपाश्रयः
मत्प्रसादात् अवाप्नोति,- [[झलां जशोऽन्ते (8.2.39)]],मत्प्रसादाद् अवाप्नोति
अवाप्नोति शाश्वतम्,-,अवाप्नोति शाश्वतम्
शाश्वतम् पदम्,- [[मोऽनुस्वारः (8.3.23)]],शाश्वतं पदम्
पदम् अव्ययम्,-,पदम् अव्ययम्
अव्ययम्,-,अव्ययम्
