पद समूह,सूत्राणि,संधि-कृत रूप
अयुक्तस् प्राकृतस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],अयुक्तः प्राकृतस्
प्राकृतस् स्तब्धस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],प्राकृतः स्तब्धस्
स्तब्धस् शठस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],स्तब्धः शठस्
शठस् नैष्कृतिकस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],शठो नैष्कृतिकस्
नैष्कृतिकस् अलसस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[अतो रोरप्लुतादप्लुते (6.1.113)]] [[आद्गुणः (6.1.87)]] [[एङः पदान्तादति (6.1.109)]],नैष्कृतिकोऽलसस्
नैष्कृतिकोऽलसस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],नैष्कृतिकोऽलसः
विषादी दीर्घसूत्री,-,विषादी दीर्घसूत्री
दीर्घसूत्री च,-,दीर्घसूत्री च
च कर्ता,-,च कर्ता
कर्ता तामसस्,-,कर्ता तामसस्
तामसस् उच्यते,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[लोपः शाकल्यस्य (8.3.19)]],तामस उच्यते
उच्यते,-,उच्यते
