पद समूह,सूत्राणि,संधि-कृत रूप
अभिसन्धाय तु,-,अभिसन्धाय तु
तु फलम्,-,तु फलम्
फलम् दम्भार्थम्,- [[मोऽनुस्वारः (8.3.23)]],फलं दम्भार्थम्
दम्भार्थम् अपि,-,दम्भार्थम् अपि
अपि च,-,अपि च
च एव,- [[वृद्धिरेचि (6.1.88)]],चैव
चैव यत्,-,चैव यत्
यत्,- [[झलां जशोऽन्ते (8.2.39)]] [[वाऽवसाने (8.4.56)]],यत्
इज्यते भरतश्रेष्ठ,-,इज्यते भरतश्रेष्ठ
भरतश्रेष्ठ तम्,-,भरतश्रेष्ठ तम्
तम् यज्ञम्,- [[मोऽनुस्वारः (8.3.23)]],तं यज्ञम्
यज्ञम् विद्धि,- [[मोऽनुस्वारः (8.3.23)]],यज्ञं विद्धि
विद्धि राजसम्,-,विद्धि राजसम्
राजसम्,-,राजसम्
