पद समूह,सूत्राणि,संधि-कृत रूप
न हि,-,न हि
हि प्रपश्यामि,-,हि प्रपश्यामि
प्रपश्यामि मम,-,प्रपश्यामि मम
मम अपनुद्यात्,- [[अकः सवर्णे दीर्घः (6.1.101)]],ममापनुद्यात्
ममापनुद्यात् यत्,- [[झलां जशोऽन्ते (8.2.39)]],ममापनुद्याद् यत्
यत् शोकम्,- [[झलां जशोऽन्ते (8.2.39)]] [[स्तोः श्चुना श्चुः (8.4.40)]] [[खरि च (8.4.55)]] [[शशछोऽटि (8.4.63)]],यच्छोकम्
यच्छोकम् उच्छोषणम्,-,यच्छोकम् उच्छोषणम्
उच्छोषणम् इन्द्रियाणाम्,-,उच्छोषणम् इन्द्रियाणाम्
इन्द्रियाणाम्,-,इन्द्रियाणाम्
अवाप्य भूमौ,-,अवाप्य भूमौ
भूमौ असपत्नम्,- [[एचोऽयवायावः (6.1.78)]],भूमावसपत्नम्
असपत्नम् ऋद्धम्,-,असपत्नम् ऋद्धम्
ऋद्धम् राज्यम्,- [[मोऽनुस्वारः (8.3.23)]],ऋद्धं राज्यम्
राज्यम् सुराणाम्,- [[मोऽनुस्वारः (8.3.23)]],राज्यं सुराणाम्
सुराणाम् अपि,-,सुराणाम् अपि
अपि च,-,अपि च
च आधिपत्यम्,- [[अकः सवर्णे दीर्घः (6.1.101)]],चाधिपत्यम्
चाधिपत्यम्,-,चाधिपत्यम्
