पद समूह,सूत्राणि,संधि-कृत रूप
दैवी सम्पत्,-,दैवी सम्पत्
सम्पत् विमोक्षाय,- [[झलां जशोऽन्ते (8.2.39)]],सम्पद् विमोक्षाय
विमोक्षाय निबन्धाय,-,विमोक्षाय निबन्धाय
निबन्धाय आसुरी,- [[अकः सवर्णे दीर्घः (6.1.101)]],निबन्धायासुरी
निबन्धायासुरी मता,-,निबन्धायासुरी मता
मता,-,मता
मा शुचस्,-,मा शुचस्
शुचस् सम्पदम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],शुचः सम्पदम्
सम्पदम् दैवीम्,- [[मोऽनुस्वारः (8.3.23)]],सम्पदं दैवीम्
दैवीम् अभिजातस्,-,दैवीम् अभिजातस्
अभिजातस् असि,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[अतो रोरप्लुतादप्लुते (6.1.113)]] [[आद्गुणः (6.1.87)]] [[एङः पदान्तादति (6.1.109)]],अभिजातोऽसि
अभिजातोऽसि पाण्डव,-,अभिजातोऽसि पाण्डव
पाण्डव,-,पाण्डव
