पद समूह,सूत्राणि,संधि-कृत रूप
शमस् दमस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],शमो दमस्
दमस् तपस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],दमस् तपस्
तपस् शौचम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[वा शरि (8.3.36)]],तपः शौचम्
शौचम् क्षान्तिस्,- [[मोऽनुस्वारः (8.3.23)]],शौचं क्षान्तिस्
क्षान्तिस् आर्जवम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],क्षान्तिर् आर्जवम्
आर्जवम् एव,-,आर्जवम् एव
एव च,-,एव च
च,-,च
ज्ञानम् विज्ञानम्,- [[मोऽनुस्वारः (8.3.23)]],ज्ञानं विज्ञानम्
विज्ञानम् आस्तिक्यम्,-,विज्ञानम् आस्तिक्यम्
आस्तिक्यम् ब्रह्मकर्म,- [[मोऽनुस्वारः (8.3.23)]],आस्तिक्यं ब्रह्मकर्म
ब्रह्मकर्म स्वभावजम्,-,ब्रह्मकर्म स्वभावजम्
स्वभावजम्,-,स्वभावजम्
