पद समूह,सूत्राणि,संधि-कृत रूप
स्पर्शान् कृत्वा,-,स्पर्शान् कृत्वा
कृत्वा बहिस्,-,कृत्वा बहिस्
बहिस् बाह्यान्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],बहिर् बाह्यान्
बाह्यान् चक्षुस्,- [[नश्छव्यप्रशान् (8.3.7)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]] [[स्तोः श्चुना श्चुः (8.4.40)]],बाह्यांश् चक्षुस्
चक्षुस् च,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]] [[स्तोः श्चुना श्चुः (8.4.40)]],चक्षुश् च
च एव,- [[वृद्धिरेचि (6.1.88)]],चैव
चैव अन्तरे,- [[अकः सवर्णे दीर्घः (6.1.101)]],चैवान्तरे
चैवान्तरे भ्रुवोस्,-,चैवान्तरे भ्रुवोस्
भ्रुवोस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],भ्रुवोः
प्राणापानौ समौ,-,प्राणापानौ समौ
समौ कृत्वा,-,समौ कृत्वा
कृत्वा नासाभ्यन्तरचारिणौ,-,कृत्वा नासाभ्यन्तरचारिणौ
नासाभ्यन्तरचारिणौ,-,नासाभ्यन्तरचारिणौ
