पद समूह,सूत्राणि,संधि-कृत रूप
आसुरीम् योनिम्,- [[मोऽनुस्वारः (8.3.23)]],आसुरीं योनिम्
योनिम् आपन्नास्,-,योनिम् आपन्नास्
आपन्नास् मूढास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[हलि सर्वेषाम् (8.3.22)]],आपन्ना मूढास्
मूढास् जन्मनि,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[भोभगोअघोअपूर्वस्य योऽशि (8.3.17)]] [[हलि सर्वेषाम् (8.3.22)]],मूढा जन्मनि
जन्मनि जन्मनि,-,जन्मनि जन्मनि
जन्मनि,-,जन्मनि
माम् अप्राप्य,-,माम् अप्राप्य
अप्राप्य एव,- [[वृद्धिरेचि (6.1.88)]],अप्राप्यैव
अप्राप्यैव कौन्तेय,-,अप्राप्यैव कौन्तेय
कौन्तेय ततस्,-,कौन्तेय ततस्
ततस् यान्ति,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[हशि च (6.1.114)]] [[आद्गुणः (6.1.87)]],ततो यान्ति
यान्ति अधमाम्,- [[इको यणचि (6.1.77)]],यान्त्यधमाम्
यान्त्यधमाम् गतिम्,- [[मोऽनुस्वारः (8.3.23)]],यान्त्यधमां गतिम्
गतिम्,-,गतिम्
