पद समूह,सूत्राणि,संधि-कृत रूप
यतस् प्रवृत्तिस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[कुप्वोः ≍क≍पौ च (8.3.37)]],यतः प्रवृत्तिस्
प्रवृत्तिस् भूतानाम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]],प्रवृत्तिर् भूतानाम्
भूतानाम् येन,- [[मोऽनुस्वारः (8.3.23)]],भूतानां येन
येन सर्वम्,-,येन सर्वम्
सर्वम् इदम्,-,सर्वम् इदम्
इदम् ततम्,- [[मोऽनुस्वारः (8.3.23)]],इदं ततम्
ततम्,-,ततम्
स्वकर्मणा तम्,-,स्वकर्मणा तम्
तम् अभ्यर्च्य,-,तम् अभ्यर्च्य
अभ्यर्च्य सिद्धिम्,-,अभ्यर्च्य सिद्धिम्
सिद्धिम् विन्दति,- [[मोऽनुस्वारः (8.3.23)]],सिद्धिं विन्दति
विन्दति मानवस्,-,विन्दति मानवस्
मानवस्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],मानवः
