पद समूह,सूत्राणि,संधि-कृत रूप
कामम् आश्रित्य,-,कामम् आश्रित्य
आश्रित्य दुष्पूरम्,-,आश्रित्य दुष्पूरम्
दुष्पूरम् दम्भमानमदान्वितास्,- [[मोऽनुस्वारः (8.3.23)]],दुष्पूरं दम्भमानमदान्वितास्
दम्भमानमदान्वितास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],दम्भमानमदान्विताः
मोहात् गृहीत्वा,- [[झलां जशोऽन्ते (8.2.39)]],मोहाद् गृहीत्वा
गृहीत्वा असत्,- [[अकः सवर्णे दीर्घः (6.1.101)]],गृहीत्वासत्
गृहीत्वासत् ग्राहान्,- [[झलां जशोऽन्ते (8.2.39)]],गृहीत्वासद् ग्राहान्
ग्राहान् प्रवर्तन्ते,-,ग्राहान् प्रवर्तन्ते
प्रवर्तन्ते अशुचिव्रतास्,- [[एङः पदान्तादति (6.1.109)]],प्रवर्तन्तेऽशुचिव्रतास्
प्रवर्तन्तेऽशुचिव्रतास्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]],प्रवर्तन्तेऽशुचिव्रताः
